날짜,식사,메뉴
20250901,중식,칼슘강화기장밥|쇠고기미역국|영양부추무침|버섯잡채|떡갈비|배추김치|9월생일케이크
20250902,중식,친환경현미밥|근대된장국|오이상추무침|제육볶음|만두탕수|총각김치|키위
20250903,중식,친환경흑미밥|육개장|시금치나물|미트볼데리야끼볶음|애호박볶음|가자미순살튀김|석박지|십원빵
20250904,중식,친환경보리밥|곰탕|온두부김치볶음|부추해물전|석박지|포도
20250905,중식,추가밥|토마토스파게티|양송이스프|치킨샐러드허니머스터드S|삼색피클|망고우유빙수
20250908,중식,친환경현미밥|햄찌개|브로콜리무침|치즈떡닭갈비|잔멸치볶음|석박지|초콜릿칩쿠키
20250909,중식,비건햄김치볶음밥|파송송달걀국|숙주나물무침|채어묵볶음|두부카츠돈가스소스|깍두기|과일생크림모찌
20250910,중식,친환경보리밥|우렁된장찌개|파채무침|삼겹살구이|배추김치|오이쌈장|꿀자몽블랙티
20250911,중식,"소고기우엉볶음밥|김치국|오징어초무침(무x,부찬)|미니돈가스파채|배식용김|깍두기|애플망고주스"
20250912,중식,추가밥|김치어묵우동(대)|메추리알카레조림|새우튀김|깍두기|토마토카프레제
20250915,중식,친환경칼슘기장밥|쇠고기무국|돈육고추장볶음|삼치구이|배추김치|우리밀약과|양배추쌈/저염쌈장
20250916,중식,주꾸미야채비빔밥|맑은콩나물국|야채달걀찜|고구마맛탕|배추김치|연근부각
20250917,중식,친환경흑미밥|순대국|매운어묵꼬치(소스)|부추무침|생선까스콘소스|석박지|청포도주스
20250918,중식,친환경잡곡밥|참치김치찌개|간장찜닭|도토리묵무침|소시지야채볶음|총각김치|아이스망고
20250919,중식,잡채밥|짬뽕국|실곤약야채무침(초)|흑임자탕수육소스|배추김치|조각파인애플
20250922,중식,참치마요구운주먹밥|볼어묵국|야채튀김|배추김치|과일맛음료|로제분모자떡볶이|양배추샐러드사우전D
20250923,중식,친환경현미밥|북어국|매콤콩나물무침|진미채고추장볶음|닭볶음탕|배추김치|포테이토치즈스틱
20250924,중식,단호박카레라이스|고명장국|두부쑥갓나물|매운닭장각구이|배추김치|요구르트
20250925,중식,장어덮밥|불마요들기름메밀국수|유부미소국|미역줄기볶음|석박지|조각파인애플
20251013,중식,칼슘강화기장밥|쇠고기미역국|돈육고추장불고기|야채달걀말이|총각김치|양배추쌈/저염쌈장|10월생일후식
20251014,중식,해물순두부찌개|곤드레나물밥양념장|볶음낙지소면|타코야끼|배추김치|포도
20251015,중식,친환경현미밥|얼큰북어국|간장찜닭|깻잎순나물|떡꼬치소스|배추김치|액상요구르트
20251016,중식,칼슘강화귀리밥|비빔국수|오징어무국|삼겹살구이|보쌈김치|오이쌈장|아이스망고
20251017,중식,추가밥|한우쌀국수|도토리묵무침|뱅글뱅글소세지|배추김치|아이스크림
20251020,중식,칼슘강화기장밥|조랭이떡국|무생채|사과|김치볶음|돈육불백|온두부
20251021,중식,친환경현미밥|닭다리닭곰탕|군만두양념장|진미채야채무침|애호박새우젓볶음|석박지|요구르트
