name,long_name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
M. Salah,Mohamed Salah,"RM,RW",Liverpool FC,91,89,89,86,90,45,76,104000000,32,175
Rodri,Rodrigo Hernández Cascante,"CDM,CM",Manchester City,91,66,80,86,84,87,85,115500000,28,190
E. Haaland,Erling Haaland,ST,Manchester City,90,88,92,70,81,45,88,157000000,23,195
H. Kane,Harry Kane,ST,Bayern München,90,65,93,83,82,49,82,117500000,30,188
J. Bellingham,Jude Bellingham,"CAM,CM",Real Madrid,90,80,86,83,88,78,85,174500000,21,186
K. Mbappé,Kylian Mbappé,"ST,LW",Real Madrid,90,97,89,81,92,36,77,160000000,25,182
V. van Dijk,Virgil van Dijk,CB,Liverpool FC,90,78,60,72,72,90,87,77500000,32,193
Vini Jr.,Vinícius José de Oliveira Júnior,"LW,ST",Real Madrid,90,95,85,81,91,29,69,171500000,23,176
F. Wirtz,Florian Wirtz,"CAM,ST",Bayer 04 Leverkusen,89,80,82,89,90,51,67,143500000,21,177
K. De Bruyne,Kevin De Bruyne,"CM,CAM",Manchester City,89,67,87,93,85,65,74,63500000,33,181
R. Lewandowski,Robert Lewandowski,ST,FC Barcelona,89,75,89,79,86,44,84,44000000,35,185
A. Rüdiger,Antonio Rüdiger,CB,Real Madrid,88,82,55,73,70,86,86,62500000,31,190
B. Saka,Bukayo Saka,"RW,RM",Arsenal FC,88,86,83,84,88,60,73,121000000,22,178
F. Valverde,Federico Valverde,"CM,CDM,RB",Real Madrid,88,88,83,84,84,80,84,120000000,25,182
J. Kimmich,Joshua Kimmich,"CDM,RB",Bayern München,88,66,74,89,84,82,77,78000000,29,177
J. Musiala,Jamal Musiala,"CAM,LM,CM",Bayern München,88,83,82,79,90,65,65,133500000,21,184
L. Martínez,Lautaro Martínez,ST,Inter Milan,88,81,88,75,84,51,85,101500000,26,174
Raphinha,Raphael Dias Belloli,"LM,RW",FC Barcelona,88,91,84,83,87,53,74,97500000,27,176
A. Bastoni,Alessandro Bastoni,CB,Inter Milan,87,74,46,75,76,87,83,88500000,25,190
A. Griezmann,Antoine Griezmann,"ST,LM",Atlético Madrid,87,78,86,86,88,59,76,51000000,33,176
C. Palmer,Cole Palmer,"CAM,RM",Chelsea FC,87,77,85,87,87,50,67,111000000,22,185
D. Rice,Declan Rice,"CDM,CM",Arsenal FC,87,73,73,84,79,84,85,85000000,25,185
Gabriel,Gabriel dos S. Magalhães,CB,Arsenal FC,87,69,41,63,63,88,83,82500000,26,190
J. Tah,Jonathan Tah,CB,Bayer 04 Leverkusen,87,71,38,60,63,87,85,68500000,28,195
L. Messi,Lionel Messi,"RW,ST,CAM",Inter Miami,87,79,85,85,89,33,64,26000000,37,169
M. Ødegaard,Martin Ødegaard,CM,Arsenal FC,87,70,81,89,88,67,66,99500000,25,178
Marquinhos,Marcos Aoás Corrêa,CB,Paris Saint-Germain,87,79,56,75,74,89,81,65500000,30,183
N. Barella,Nicolò Barella,"CM,CDM",Inter Milan,87,80,78,84,87,80,82,84500000,27,175
O. Dembélé,Ousmane Dembélé,"RW,ST",Paris Saint-Germain,87,92,82,82,88,43,61,85000000,27,178
Pedri,Pedro González López,"CM,CDM",FC Barcelona,87,77,69,83,89,73,75,110000000,21,174
V. Osimhen,Victor Osimhen,ST,Galatasaray SK,87,91,85,65,81,42,82,101500000,25,186
W. Saliba,William Saliba,CB,Arsenal FC,87,82,39,70,74,87,83,92000000,23,193
A. Hakimi,Achraf Hakimi,RB,Paris Saint-Germain,86,92,76,80,81,77,79,78500000,25,181
A. Isak,Alexander Isak,ST,Newcastle United,86,86,85,73,86,39,75,89500000,24,192
A. Mac Allister,Alexis Mac Allister,"CM,CDM",Liverpool FC,86,69,82,85,85,77,77,84500000,25,176
Bremer,Gleison Bremer Silva Nascimento,CB,Juventus FC,86,82,50,58,66,86,85,72500000,27,187
Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM,CM,LW",Manchester United,86,70,84,88,83,65,75,66500000,29,179
Carvajal,Daniel Carvajal Ramos,RB,Real Madrid,86,81,58,79,81,81,79,47000000,32,173
F. de Jong,Frenkie de Jong,"CM,CDM",FC Barcelona,86,82,69,85,87,77,77,72000000,27,181
G. Xhaka,Granit Xhaka,"CDM,CM",Bayer 04 Leverkusen,86,50,75,85,74,79,82,47500000,31,186
H. Son,Heung Min Son,"LW,ST",Tottenham Hotspur,86,85,84,81,85,42,73,56500000,31,183
H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM,CM",Inter Milan,86,71,81,87,82,80,77,57000000,30,178
J. Alvarez,Julián Alvarez,"ST,CAM",Atlético Madrid,86,85,86,81,87,57,79,94000000,24,170
J. Koundé,Jules Koundé,"RB,CB",FC Barcelona,86,84,47,73,76,86,81,83000000,25,180
K. Benzema,Karim Benzema,ST,Al Ittihad,86,77,85,81,84,38,77,23000000,36,185
Lamine Yamal,Lamine Yamal Nasraoui Ebana,"RM,RW",FC Barcelona,86,84,79,82,89,23,53,140500000,16,180
P. Dybala,Paulo Dybala,"CAM,ST",AS Roma,86,80,85,84,88,41,65,65500000,30,177
P. Foden,Phil Foden,"RW,CM,LW",Manchester City,86,84,83,83,89,57,63,88000000,24,171
Rodrygo,Rodrygo Silva de Goes,"RW,ST,RM",Real Madrid,86,89,81,80,88,31,64,102500000,23,174
Rúben Dias,Rúben Santos Gato Alves Dias,CB,Manchester City,86,60,39,70,69,86,86,68500000,27,187
S. Guirassy,Serhou Guirassy,ST,Borussia Dortmund,86,71,86,75,83,40,81,69500000,28,187
T. Alexander-Arnold,Trent Alexander-Arnold,RB,Liverpool FC,86,76,72,90,80,80,74,74000000,25,180
T. Hernández,Theo Hernández,LB,AC Milan,86,93,76,78,83,79,86,73000000,26,184
V. Gyökeres,Viktor Gyökeres,"ST,LW",Sporting CP,86,90,85,72,81,36,91,90000000,26,189
Bernardo Silva,Bernardo Mota Carvalho e Silva,"CM,RM",Manchester City,85,67,78,84,89,71,68,52500000,29,173
Bruno Guimarães,Bruno Guimarães Moura,"CDM,CM",Newcastle United,85,68,75,83,84,79,83,56500000,26,182
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,ST,Al Nassr,85,75,87,76,80,34,77,18500000,39,187
D. Upamecano,Dayot Upamecano,CB,Bayern München,85,79,45,64,73,84,85,63500000,25,186
Dani Olmo,Daniel Olmo Carvajal,"CAM,CM",FC Barcelona,85,74,79,83,87,50,57,63500000,26,179
F. Dimarco,Federico Dimarco,"LB,LM",Inter Milan,85,80,78,84,83,79,81,58000000,26,175
Grimaldo,Alejandro Grimaldo García,"LM,LB",Bayer 04 Leverkusen,85,74,73,87,85,76,71,54500000,28,171
I. Konaté,Ibrahima Konaté,CB,Liverpool FC,85,77,34,63,68,85,85,60000000,25,194
João Cancelo,João Pedro Cavaco Cancelo,"RB,LB,RM",Al Hilal,85,82,73,85,85,79,72,46500000,30,182
K. Kvaratskhelia,Khvicha Kvaratskhelia,"LW,LM",Paris Saint-Germain,85,86,79,81,87,41,74,77500000,23,183
L. Díaz,Luis Díaz,"LM,LW,ST",Liverpool FC,85,90,82,75,87,45,75,57500000,27,180
L. Modrić,Luka Modrić,"CM,CAM,CDM",Real Madrid,85,72,75,88,87,71,62,17000000,38,172
M. Caicedo,Moisés Caicedo,CDM,Chelsea FC,85,75,63,77,80,84,82,68000000,22,178
M. Olise,Michael Olise,"RM,RW",Bayern München,85,78,79,83,86,53,62,75000000,22,184
N. Kanté,N'Golo Kanté,"CDM,CM",Al Ittihad,85,76,65,73,80,85,77,26500000,33,168
