name_ko,name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
살라,M. Salah,"RM,RW",Liverpool FC,91,89,89,86,90,45,76,104000000,32,175
로드리,Rodri,"CDM,CM",Manchester City,91,66,80,86,84,87,85,115500000,28,190
홀란드,E. Haaland,ST,Manchester City,90,88,92,70,81,45,88,157000000,23,195
케인,H. Kane,ST,Bayern München,90,65,93,83,82,49,82,117500000,30,188
벨링엄,J. Bellingham,"CAM,CM",Real Madrid,90,80,86,83,88,78,85,174500000,21,186
음바페,K. Mbappé,"ST,LW",Real Madrid,90,97,89,81,92,36,77,160000000,25,182
판다이크,V. van Dijk,CB,Liverpool FC,90,78,60,72,72,90,87,77500000,32,193
비니시우스 주니오르,Vini Jr.,"LW,ST",Real Madrid,90,95,85,81,91,29,69,171500000,23,176
비르츠,F. Wirtz,"CAM,ST",Bayer 04 Leverkusen,89,80,82,89,90,51,67,143500000,21,177
더브라위너,K. De Bruyne,"CM,CAM",Manchester City,89,67,87,93,85,65,74,63500000,33,181
레반도프스키,R. Lewandowski,ST,FC Barcelona,89,75,89,79,86,44,84,44000000,35,185
뤼디거,A. Rüdiger,CB,Real Madrid,88,82,55,73,70,86,86,62500000,31,190
사카,B. Saka,"RW,RM",Arsenal FC,88,86,83,84,88,60,73,121000000,22,178
발베르데,F. Valverde,"CM,CDM,RB",Real Madrid,88,88,83,84,84,80,84,120000000,25,182
키미히,J. Kimmich,"CDM,RB",Bayern München,88,66,74,89,84,82,77,78000000,29,177
무시알라,J. Musiala,"CAM,LM,CM",Bayern München,88,83,82,79,90,65,65,133500000,21,184
라우타로 마르티네스,L. Martínez,ST,Inter Milan,88,81,88,75,84,51,85,101500000,26,174
하피냐,Raphinha,"LM,RW",FC Barcelona,88,91,84,83,87,53,74,97500000,27,176
바스토니,A. Bastoni,CB,Inter Milan,87,74,46,75,76,87,83,88500000,25,190
그리즈만,A. Griezmann,"ST,LM",Atlético Madrid,87,78,86,86,88,59,76,51000000,33,176
파머,C. Palmer,"CAM,RM",Chelsea FC,87,77,85,87,87,50,67,111000000,22,185
라이스,D. Rice,"CDM,CM",Arsenal FC,87,73,73,84,79,84,85,85000000,25,185
가브리에우,Gabriel,CB,Arsenal FC,87,69,41,63,63,88,83,82500000,26,190
요나탄 타,J. Tah,CB,Bayer 04 Leverkusen,87,71,38,60,63,87,85,68500000,28,195
메시,L. Messi,"RW,ST,CAM",Inter Miami,87,79,85,85,89,33,64,26000000,37,169
외데고르,M. Ødegaard,CM,Arsenal FC,87,70,81,89,88,67,66,99500000,25,178
마르키뉴스,Marquinhos,CB,Paris Saint-Germain,87,79,56,75,74,89,81,65500000,30,183
바렐라,N. Barella,"CM,CDM",Inter Milan,87,80,78,84,87,80,82,84500000,27,175
뎀벨레,O. Dembélé,"RW,ST",Paris Saint-Germain,87,92,82,82,88,43,61,85000000,27,178
페드리,Pedri,"CM,CDM",FC Barcelona,87,77,69,83,89,73,75,110000000,21,174
오시멘,V. Osimhen,ST,Galatasaray SK,87,91,85,65,81,42,82,101500000,25,186
살리바,W. Saliba,CB,Arsenal FC,87,82,39,70,74,87,83,92000000,23,193
하키미,A. Hakimi,RB,Paris Saint-Germain,86,92,76,80,81,77,79,78500000,25,181
이사크,A. Isak,ST,Newcastle United,86,86,85,73,86,39,75,89500000,24,192
맥 알리스터,A. Mac Allister,"CM,CDM",Liverpool FC,86,69,82,85,85,77,77,84500000,25,176
브레메르,Bremer,CB,Juventus FC,86,82,50,58,66,86,85,72500000,27,187
브루누 페르난드스,Bruno Fernandes,"CAM,CM,LW",Manchester United,86,70,84,88,83,65,75,66500000,29,179
카르바할,Carvajal,RB,Real Madrid,86,81,58,79,81,81,79,47000000,32,173
프렝키 더용,F. de Jong,"CM,CDM",FC Barcelona,86,82,69,85,87,77,77,72000000,27,181
자카,G. Xhaka,"CDM,CM",Bayer 04 Leverkusen,86,50,75,85,74,79,82,47500000,31,186
손흥민,H. Son,"LW,ST",Tottenham Hotspur,86,85,84,81,85,42,73,56500000,31,183
찰하노을루,H. Çalhanoğlu,"CDM,CM",Inter Milan,86,71,81,87,82,80,77,57000000,30,178
훌리안 알바레스,J. Alvarez,"ST,CAM",Atlético Madrid,86,85,86,81,87,57,79,94000000,24,170
쿤데,J. Koundé,"RB,CB",FC Barcelona,86,84,47,73,76,86,81,83000000,25,180
벤제마,K. Benzema,ST,Al Ittihad,86,77,85,81,84,38,77,23000000,36,185
라민 야말,Lamine Yamal,"RM,RW",FC Barcelona,86,84,79,82,89,23,53,140500000,16,180
디발라,P. Dybala,"CAM,ST",AS Roma,86,80,85,84,88,41,65,65500000,30,177
포든,P. Foden,"RW,CM,LW",Manchester City,86,84,83,83,89,57,63,88000000,24,171
호드리구,Rodrygo,"RW,ST,RM",Real Madrid,86,89,81,80,88,31,64,102500000,23,174
후벵 디아스,Rúben Dias,CB,Manchester City,86,60,39,70,69,86,86,68500000,27,187
기라시,S. Guirassy,ST,Borussia Dortmund,86,71,86,75,83,40,81,69500000,28,187
알렉산더아널드,T. Alexander-Arnold,RB,Liverpool FC,86,76,72,90,80,80,74,74000000,25,180
테오 에르난데스,T. Hernández,LB,AC Milan,86,93,76,78,83,79,86,73000000,26,184
요케레스,V. Gyökeres,"ST,LW",Sporting CP,86,90,85,72,81,36,91,90000000,26,189
베르나르두 실바,Bernardo Silva,"CM,RM",Manchester City,85,67,78,84,89,71,68,52500000,29,173
브루누 기마랑이스,Bruno Guimarães,"CDM,CM",Newcastle United,85,68,75,83,84,79,83,56500000,26,182
호날두,Cristiano Ronaldo,ST,Al Nassr,85,75,87,76,80,34,77,18500000,39,187
우파메카노,D. Upamecano,CB,Bayern München,85,79,45,64,73,84,85,63500000,25,186
다니 올모,Dani Olmo,"CAM,CM",FC Barcelona,85,74,79,83,87,50,57,63500000,26,179
디마르코,F. Dimarco,"LB,LM",Inter Milan,85,80,78,84,83,79,81,58000000,26,175
그리말도,Grimaldo,"LM,LB",Bayer 04 Leverkusen,85,74,73,87,85,76,71,54500000,28,171
코나테,I. Konaté,CB,Liverpool FC,85,77,34,63,68,85,85,60000000,25,194
주앙 칸셀루,João Cancelo,"RB,LB,RM",Al Hilal,85,82,73,85,85,79,72,46500000,30,182
크바라츠헬리아,K. Kvaratskhelia,"LW,LM",Paris Saint-Germain,85,86,79,81,87,41,74,77500000,23,183
루이스 디아스,L. Díaz,"LM,LW,ST",Liverpool FC,85,90,82,75,87,45,75,57500000,27,180
모드리치,L. Modrić,"CM,CAM,CDM",Real Madrid,85,72,75,88,87,71,62,17000000,38,172
카이세도,M. Caicedo,CDM,Chelsea FC,85,75,63,77,80,84,82,68000000,22,178
올리세,M. Olise,"RM,RW",Bayern München,85,78,79,83,86,53,62,75000000,22,184
캉테,N. Kanté,"CDM,CM",Al Ittihad,85,76,65,73,80,85,77,26500000,33,168
슐로터베크,N. Schlotterbeck,CB,Borussia Dortmund,85,77,59,73,73,85,82,66000000,24,191
니코 윌리엄스,Nico Williams,"LM,RM",Athletic Club,85,93,74,78,86,36,65,78500000,21,181
아라우호,R. Araujo,"CB,RB",FC Barcelona,85,82,53,64,62,85,84,71500000,25,188
마레즈,R. Mahrez,"RM,RW",Al Ahli SFC,85,79,81,81,88,39,62,33500000,33,179
하파엘 레앙,Rafael Leão,"LW,LM",AC Milan,85,93,79,80,86,28,77,71500000,25,188
밀린코비치사비치,S. Milinković-Savić,"CM,CDM",Al Hilal,85,64,80,81,82,78,88,52500000,29,192
토날리,S. Tonali,"CDM,CM",Newcastle United,85,84,75,81,81,82,83,63000000,24,181
비티냐,Vitinha,"CM,CDM",Paris Saint-Germain,85,72,78,84,87,73,68,77000000,24,172
에데르 밀리탕,Éder Militão,CB,Real Madrid,85,85,50,69,71,85,82,62500000,26,186
데이비스,A. Davies,"LB,LM",Bayern München,84,95,66,78,85,73,78,53500000,23,185
루크먼,A. Lookman,"ST,CAM",Atalanta BC,84,86,83,72,88,32,69,50500000,26,174
추아메니,A. Tchouaméni,"CDM,CM,CB",Real Madrid,84,73,69,79,78,81,82,52000000,24,187
파바르,B. Pavard,"CB,RB",Inter Milan,84,75,67,76,76,86,82,36500000,28,186
벤 화이트,B. White,RB,Arsenal FC,84,73,35,77,78,83,80,42000000,26,185
가크포,C. Gakpo,"LM,LW,ST",Liverpool FC,84,83,83,80,83,48,75,50500000,25,189
풀리시치,C. Pulisic,"RW,RM,CAM",AC Milan,84,88,82,78,86,38,63,50500000,25,178
알라바,D. Alaba,"CB,LB",Real Madrid,84,77,71,83,80,85,76,27500000,32,180
쿨루셉스키,D. Kulusevski,"CAM,CM,RW",Tottenham Hotspur,84,75,79,83,85,62,83,57500000,24,186
팔라시오스,E. Palacios,"CM,CDM",Bayer 04 Leverkusen,84,69,76,79,82,82,73,55500000,25,178
아체르비,F. Acerbi,CB,Inter Milan,84,60,50,65,65,87,80,7500000,36,192
이아고 아스파스,Iago Aspas,"ST,RW,CAM",RC Celta,84,81,86,81,85,35,65,14500000,36,176
이니고 마르티네스,Iñigo Martínez,CB,FC Barcelona,84,71,57,69,67,85,80,20000000,33,182
프림퐁,J. Frimpong,"RM,RB",Bayer 04 Leverkusen,84,93,62,74,85,75,68,54500000,23,172
그바르디올,J. Gvardiol,"LB,CB",Manchester City,84,79,71,75,78,84,83,54500000,22,185
매디슨,J. Maddison,"CM,CAM",Tottenham Hotspur,84,71,81,86,86,56,63,44500000,27,175
주앙 네베스,João Neves,"CM,CDM",Paris Saint-Germain,84,77,69,79,84,79,80,63500000,19,174
코망,K. Coman,"LM,RM",Bayern München,84,87,75,78,87,30,61,42500000,28,181
오펜다,L. Openda,ST,RB Leipzig,84,95,83,69,81,31,79,58500000,24,175
자네,L. Sané,"RM,LM,RW",Bayern München,84,88,81,79,86,37,69,42500000,28,183
튀랑,M. Thuram,ST,Inter Milan,84,86,82,76,82,50,82,50500000,26,192
미켈 메리노,Mikel Merino,"CM,ST",Arsenal FC,84,70,79,81,81,81,81,42000000,28,189
