name,long_name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",Paris Saint-Germain,93,85.0,92.0,91.0,95.0,34.0,65.0,78000000.0,34,170
R. Lewandowski,Robert Lewandowski,ST,FC Bayern München,92,78.0,92.0,79.0,86.0,44.0,82.0,119500000.0,32,185
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",Manchester United,91,87.0,94.0,80.0,88.0,34.0,75.0,45000000.0,36,187
Neymar Jr,Neymar da Silva Santos Júnior,"LW, CAM",Paris Saint-Germain,91,91.0,83.0,86.0,94.0,37.0,63.0,129000000.0,29,175
K. De Bruyne,Kevin De Bruyne,"CM, CAM",Manchester City,91,76.0,86.0,93.0,88.0,64.0,78.0,125500000.0,30,181
K. Mbappé,Kylian Mbappé Lottin,"ST, LW",Paris Saint-Germain,91,97.0,88.0,80.0,92.0,36.0,77.0,194000000.0,22,182
H. Kane,Harry Kane,ST,Tottenham Hotspur,90,70.0,91.0,83.0,83.0,47.0,83.0,129500000.0,27,188
N. Kanté,N'Golo Kanté,"CDM, CM",Chelsea,90,78.0,66.0,75.0,82.0,87.0,83.0,100000000.0,30,168
V. van Dijk,Virgil van Dijk,CB,Liverpool,89,78.0,60.0,71.0,72.0,91.0,84.0,86000000.0,29,193
M. Salah,Mohamed Salah Ghaly,RW,Liverpool,89,90.0,87.0,81.0,90.0,45.0,75.0,101000000.0,29,175
S. Mané,Sadio Mané,LW,Liverpool,89,91.0,83.0,80.0,89.0,44.0,77.0,101000000.0,29,175
J. Kimmich,Joshua Walter Kimmich,"CDM, RB",FC Bayern München,89,70.0,73.0,86.0,84.0,83.0,79.0,108000000.0,26,177
Casemiro,Carlos Henrique Venancio Casimiro,CDM,Real Madrid CF,89,65.0,73.0,76.0,73.0,86.0,90.0,88000000.0,29,185
K. Benzema,Karim Benzema,"CF, ST",Real Madrid CF,89,76.0,86.0,81.0,87.0,39.0,77.0,66000000.0,33,185
H. Son,손흥민 孙兴慜,"LM, CF, LW",Tottenham Hotspur,89,88.0,87.0,82.0,86.0,43.0,69.0,104000000.0,28,183
R. Lukaku,Romelu Lukaku Menama,ST,Chelsea,88,84.0,87.0,74.0,78.0,39.0,83.0,93500000.0,28,191
E. Haaland,Erling Braut Haaland,ST,Borussia Dortmund,88,89.0,91.0,65.0,80.0,45.0,88.0,137500000.0,20,194
R. Sterling,Raheem Sterling,"LW, RW",Manchester City,88,91.0,82.0,79.0,87.0,45.0,66.0,107500000.0,26,170
Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,Manchester United,88,75.0,86.0,89.0,84.0,70.0,77.0,107500000.0,26,179
T. Kroos,Toni Kroos,CM,Real Madrid CF,88,53.0,81.0,91.0,81.0,71.0,68.0,75000000.0,31,183
L. Suárez,Luis Alberto Suárez Díaz,ST,Atlético de Madrid,88,72.0,90.0,82.0,84.0,47.0,83.0,44500000.0,34,182
Sergio Ramos,Sergio Ramos García,CB,Paris Saint-Germain,88,70.0,70.0,76.0,74.0,88.0,84.0,24000000.0,35,184
Marquinhos,Marcos Aoás Corrêa,"CB, CDM",Paris Saint-Germain,87,81.0,53.0,75.0,74.0,89.0,81.0,90500000.0,27,183
Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,Manchester City,87,61.0,38.0,65.0,68.0,88.0,88.0,102500000.0,24,187
J. Sancho,Jadon Sancho,"RM, CF, LM",Manchester United,87,81.0,76.0,82.0,91.0,36.0,65.0,116500000.0,21,180
F. de Jong,Frenkie de Jong,"CM, CDM, CB",FC Barcelona,87,81.0,69.0,85.0,88.0,77.0,78.0,119500000.0,24,180
A. Robertson,Andrew Robertson,LB,Liverpool,87,84.0,61.0,81.0,81.0,82.0,76.0,83500000.0,27,178
P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",Juventus,87,84.0,86.0,86.0,90.0,40.0,60.0,93000000.0,27,177
L. Goretzka,Leon Christoph Goretzka,"CM, CDM",FC Bayern München,87,81.0,82.0,82.0,84.0,81.0,86.0,93000000.0,26,189
