country,iso,electricity_twh,population,demand_per_capita_kwh,solar_pct,wind_pct,hydro_pct,nuclear_pct,fossil_pct,renewables_pct
Afghanistan,AFG,0.99,42647502.0,159.916,11.111,0.0,75.758,0.0,13.131,86.869
Albania,ALB,8.34,2791756.0,3105.572,4.077,0.0,95.923,0.0,0.0,100.0
Algeria,DZA,96.36,46814302.0,2004.516,1.027,0.021,0.021,0.0,98.931,1.069
American Samoa,ASM,0.18,46792.0,3846.812,5.556,0.0,0.0,0.0,94.444,5.556
Angola,AGO,15.59,37885854.0,411.499,2.822,0.0,70.558,0.0,26.299,73.701
Antigua and Barbuda,ATG,0.37,93782.0,3945.32,8.108,0.0,0.0,0.0,91.892,8.108
Argentina,ARG,152.51,45696153.0,3538.153,2.603,10.603,19.454,6.852,58.763,34.385
Armenia,ARM,9.03,2973843.0,2569.066,9.745,0.0,22.148,29.125,38.981,31.894
Aruba,ABW,1.0,108076.0,9252.748,3.0,14.0,0.0,0.0,83.0,17.0
Australia,AUS,281.64,26713206.0,10543.101,17.828,11.625,4.563,0.0,64.923,35.077
Austria,AUT,78.47,9120815.0,7860.043,10.373,11.648,58.252,0.0,13.776,86.224
Azerbaijan,AZE,27.84,10336577.0,2574.353,0.287,0.323,10.776,0.0,88.254,11.746
Bahamas,BHS,2.25,401282.0,5607.029,0.889,0.0,0.0,0.0,99.111,0.889
Bahrain,BHR,37.95,1607059.0,23919.469,0.264,0.0,0.0,0.0,99.736,0.264
Bangladesh,BGD,101.74,173562366.0,643.803,1.199,0.0,0.688,0.0,98.113,1.887
Barbados,BRB,1.11,282476.0,3929.537,9.009,0.0,0.0,0.0,90.991,9.009
Belarus,BLR,45.82,9056696.0,4992.991,0.567,0.436,0.873,34.243,62.68,3.077
Belgium,BEL,76.01,11738761.0,7355.972,11.262,18.498,0.724,41.113,23.655,35.232
Belize,BLZ,0.47,417077.0,2037.993,2.128,0.0,51.064,0.0,12.766,87.234
Benin,BEN,1.01,14462721.0,159.721,3.96,0.0,0.0,0.0,96.04,3.96
Bermuda,BMU,0.61,64660.0,9433.963,0.0,0.0,0.0,0.0,98.361,1.639
Bhutan,BTN,11.0,791530.0,15741.665,0.0,0.0,100.0,0.0,0.0,100.0
Bolivia,BOL,13.53,12413318.0,1089.958,2.956,3.548,24.39,0.0,66.001,33.999
Bosnia and Herzegovina,BIH,15.49,3164256.0,4895.306,2.518,2.389,35.184,0.0,59.651,40.349
Botswana,BWA,3.43,2521145.0,1852.333,0.292,0.0,0.0,0.0,99.708,0.292
Brazil,BRA,745.72,211998565.0,3572.241,9.564,14.548,55.411,2.116,10.551,87.333
Brunei,BRN,5.56,462734.0,12015.542,0.18,0.0,0.0,0.0,99.82,0.18
Bulgaria,BGR,38.3,6757686.0,5521.121,14.334,3.812,7.285,41.201,28.877,29.922
Burkina Faso,BFA,1.69,23548782.0,135.463,6.509,0.0,5.325,0.0,82.84,17.16
Burundi,BDI,0.49,14047788.0,40.576,0.0,0.0,73.469,0.0,24.49,75.51
Cambodia,KHM,15.48,17638804.0,1133.864,6.912,,28.23,,64.341,35.659
Cameroon,CMR,7.26,29123748.0,251.341,0.551,0.0,72.039,0.0,26.86,73.14
Canada,CAN,636.79,39742429.0,15710.162,1.479,7.354,53.895,13.422,22.306,64.272
Cape Verde,CPV,0.52,524878.0,990.706,15.385,15.385,0.0,0.0,69.231,30.769
Cayman Islands,CYM,0.71,74476.0,9533.272,4.225,0.0,0.0,0.0,95.775,4.225
Chad,TCD,0.37,20299131.0,18.227,0.0,2.703,0.0,0.0,94.595,5.405
Chile,CHL,88.62,19764774.0,4483.735,22.783,11.769,29.339,0.0,29.959,70.041
China,CHN,10086.88,1419321284.0,7094.856,8.318,9.885,13.426,4.47,61.835,33.696
Colombia,COL,89.14,52886360.0,1685.501,3.848,0.168,54.835,0.0,38.658,61.342
Congo,COG,5.46,6332969.0,849.523,0.183,0.0,20.147,0.0,79.121,20.879
Cook Islands,COK,0.04,13750.0,2909.091,50.0,0.0,0.0,0.0,50.0,50.0
Costa Rica,CRI,11.0,5129909.0,2187.173,0.818,11.273,72.727,0.0,0.091,99.909
Cote d'Ivoire,CIV,10.79,31934229.0,315.022,0.185,0.0,27.804,0.0,71.084,28.916
Croatia,HRV,15.29,3875325.0,5070.542,5.363,17.528,44.016,0.0,26.553,73.447
Cuba,CUB,19.43,10979781.0,1769.616,1.235,0.36,0.618,0.0,95.986,4.014
Cyprus,CYP,5.79,1358287.0,4262.722,19.171,3.8,0.0,0.0,75.993,24.007
Czechia,CZE,72.81,10735857.0,6161.595,4.931,0.92,3.653,40.791,42.316,16.893
Democratic Republic of Congo,COD,15.92,109276264.0,158.863,15.766,0.0,84.171,0.0,0.0,100.0
Denmark,DNK,35.06,5977417.0,6486.079,10.782,58.214,0.057,0.0,10.81,89.19
Djibouti,DJI,0.2,1168726.0,684.506,0.0,35.0,0.0,0.0,65.0,35.0
Dominican Republic,DOM,24.03,11427558.0,2102.812,6.45,5.41,6.117,0.0,81.149,18.851
East Timor,TLS,0.51,1400638.0,364.12,0.0,0.0,0.0,0.0,100.0,0.0
Ecuador,ECU,32.66,18135478.0,1839.488,0.122,0.704,70.423,0.0,27.557,72.443
Egypt,EGY,237.39,116538256.0,2025.0,2.557,2.586,6.053,0.0,88.803,11.197
El Salvador,SLV,6.53,6338197.0,978.196,19.142,2.144,32.619,,9.188,90.812
Equatorial Guinea,GNQ,1.49,1892523.0,787.309,0.0,0.0,26.846,0.0,73.154,26.846
Eritrea,ERI,0.45,3535610.0,127.276,11.111,0.0,0.0,0.0,88.889,11.111
Estonia,EST,6.26,1360548.0,6747.281,17.093,16.773,0.479,0.0,44.249,55.751
Eswatini,SWZ,0.61,1242829.0,1327.616,4.918,0.0,57.377,0.0,3.279,96.721
Ethiopia,ETH,25.2,132059770.0,177.495,0.159,2.778,96.905,0.0,0.0,100.0
Fiji,FJI,1.15,928800.0,1238.157,0.87,0.0,52.174,0.0,36.522,63.478
Finland,FIN,82.55,5617311.0,15261.751,1.139,24.809,17.323,39.491,4.652,55.857
France,FRA,561.78,66548532.0,7089.562,4.427,8.087,12.66,67.722,5.102,27.176
French Polynesia,PYF,0.72,281816.0,2554.859,8.333,0.0,26.389,0.0,65.278,34.722
Gabon,GAB,2.6,2538953.0,1252.485,0.0,0.0,35.0,0.0,64.615,35.385
Gambia,GMB,0.51,2759999.0,184.783,0.0,0.0,0.0,0.0,100.0,0.0
Georgia,GEO,13.93,3807668.0,3705.68,0.215,0.646,78.966,0.0,20.172,79.828
Germany,DEU,495.99,84552234.0,6176.773,14.946,28.549,4.805,0.0,41.358,58.642
Ghana,GHA,24.27,34427417.0,634.088,0.7,0.0,35.435,0.0,63.782,36.218
Gibraltar,GIB,0.22,39351.0,5590.709,0.0,0.0,0.0,0.0,100.0,0.0
Greece,GRC,57.08,10047813.0,5649.986,19.727,21.987,6.272,0.0,50.771,49.229
Greenland,GRL,0.6,55864.0,10740.37,0.0,0.0,78.333,0.0,16.667,83.333
Grenada,GRD,0.24,117218.0,2047.467,0.0,0.0,0.0,0.0,100.0,0.0
Guam,GUM,1.86,167790.0,11085.285,8.602,0.0,0.0,0.0,91.398,8.602
Guatemala,GTM,15.79,18406366.0,888.28,1.773,2.343,39.899,0.0,31.666,68.334
Guinea,GIN,4.03,14754779.0,273.132,0.744,0.0,74.442,0.0,24.814,75.186
Guinea-Bissau,GNB,0.08,2201360.0,36.341,0.0,0.0,0.0,0.0,100.0,0.0
Guyana,GUY,1.38,831092.0,1660.466,1.449,0.0,0.0,0.0,97.101,2.899
Haiti,HTI,0.86,11772562.0,73.051,0.0,0.0,18.605,0.0,81.395,18.605
Honduras,HND,12.48,10825704.0,1166.668,9.455,6.01,30.449,0.0,44.551,55.449
Hong Kong,HKG,37.44,7414914.0,6582.679,0.614,0.0,0.0,0.0,98.958,1.042
Hungary,HUN,38.0,9676135.0,5036.102,24.211,1.816,0.605,42.158,26.368,31.474
Iceland,ISL,19.05,393404.0,48423.5,0.052,0.052,70.656,0.0,0.0,100.0
India,IND,2036.52,1450935785.0,1402.005,7.025,4.004,7.686,2.686,77.506,19.808
Indonesia,IDN,371.54,283487933.0,1313.989,0.363,0.127,7.345,0.0,81.91,18.09
