선수명,팀,경기,타석,타수,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,삼진,병살,타율,출루율,장타율,OPS
양의지,두산,130,517,454,56,153,27,1,20,89,4,50,7,63,10,0.337,0.406,0.533,0.939
안현민,KT,112,482,395,72,132,19,4,22,80,7,75,9,72,4,0.334,0.448,0.570,1.018
김성윤,삼성,127,538,456,92,151,29,9,6,61,26,65,5,54,11,0.331,0.419,0.474,0.893
레이예스,롯데,144,643,573,75,187,44,1,13,107,7,58,3,66,25,0.326,0.386,0.475,0.861
문현빈,한화,141,592,528,71,169,30,2,12,80,17,38,10,82,11,0.320,0.370,0.453,0.823
구자욱,삼성,142,616,529,106,169,43,2,19,96,4,73,5,91,9,0.319,0.402,0.516,0.918
송성문,키움,144,646,574,103,181,37,4,26,90,25,68,1,96,6,0.315,0.387,0.530,0.917
디아즈,삼성,144,628,551,93,173,32,0,50,158,1,60,6,100,15,0.314,0.381,0.644,1.025
신민재,LG,135,538,463,87,145,15,7,1,61,15,62,3,57,7,0.313,0.395,0.382,0.777
오스틴,LG,116,499,425,82,133,25,1,31,95,3,61,2,62,11,0.313,0.393,0.595,0.988
최형우,KIA,133,549,469,74,144,30,1,24,86,1,67,8,98,9,0.307,0.399,0.529,0.928
문성주,LG,135,542,475,57,145,20,2,3,70,4,54,4,59,10,0.305,0.375,0.375,0.750
박민우,NC,117,468,404,64,122,25,8,3,67,28,44,12,64,5,0.302,0.384,0.426,0.810
케이브,두산,136,593,538,72,161,28,6,16,87,17,43,4,116,7,0.299,0.351,0.463,0.814
김현수,LG,140,552,483,66,144,24,0,12,90,4,64,4,73,10,0.298,0.384,0.422,0.806
전준우,롯데,114,472,410,50,120,26,1,8,70,2,44,9,71,9,0.293,0.369,0.420,0.789
김주원,NC,144,624,539,98,156,26,8,15,65,44,63,16,111,8,0.289,0.379,0.451,0.830
채은성,한화,132,527,480,54,138,27,1,19,88,1,31,13,96,4,0.288,0.347,0.467,0.814
박찬호,KIA,134,595,516,75,148,18,2,5,42,27,62,3,69,7,0.287,0.363,0.359,0.722
최지훈,SSG,140,574,517,66,147,16,4,7,45,28,43,5,87,2,0.284,0.342,0.371,0.713
허경민,KT,114,481,420,47,119,18,0,4,44,4,39,15,35,14,0.283,0.362,0.355,0.717
류지혁,삼성,129,464,400,54,112,14,0,1,37,11,33,13,73,11,0.280,0.351,0.323,0.674
고명준,SSG,130,500,471,46,131,20,1,17,64,2,20,2,99,12,0.278,0.306,0.433,0.739
박해민,LG,144,544,442,80,122,18,2,3,43,49,68,8,94,7,0.276,0.379,0.346,0.725
문보경,LG,141,607,515,91,142,21,1,24,108,3,79,4,108,15,0.276,0.371,0.460,0.831
최주환,키움,120,506,459,45,126,31,1,12,74,0,36,5,66,8,0.275,0.330,0.425,0.755
박성한,SSG,127,538,452,73,124,23,2,7,48,5,79,3,93,6,0.274,0.384,0.381,0.765
한유섬,SSG,128,511,455,50,124,24,0,15,71,1,46,7,120,6,0.273,0.347,0.424,0.771
고승민,롯데,121,538,469,71,127,21,2,4,45,5,56,3,83,8,0.271,0.350,0.350,0.700
강민호,삼성,127,465,412,37,111,23,1,12,71,2,38,7,69,16,0.269,0.336,0.417,0.753
오선우,KIA,124,474,437,58,116,17,1,18,56,0,34,3,158,11,0.265,0.323,0.432,0.755
노시환,한화,144,624,539,97,140,28,2,32,101,14,70,11,125,22,0.260,0.354,0.497,0.851
정수빈,두산,132,546,462,89,119,16,4,6,38,26,61,11,57,7,0.258,0.355,0.348,0.703
이재현,삼성,139,555,457,82,116,29,1,16,67,6,69,11,119,8,0.254,0.360,0.427,0.787
오지환,LG,127,472,419,57,106,24,1,16,62,9,37,3,115,4,0.253,0.314,0.430,0.744
박동원,LG,139,523,451,57,114,25,0,22,76,4,62,2,124,10,0.253,0.342,0.455,0.797
김휘집,NC,142,500,429,64,107,18,2,17,56,10,40,27,89,9,0.249,0.349,0.420,0.769
김영웅,삼성,125,499,446,66,111,22,2,22,72,6,48,2,143,6,0.249,0.323,0.455,0.778
장성우,KT,129,480,413,44,102,13,0,14,58,0,55,2,96,13,0.247,0.333,0.380,0.713
권희동,NC,136,456,358,56,88,24,0,6,39,5,77,11,80,10,0.246,0.393,0.363,0.756
최원준,NC,126,449,413,62,100,13,3,6,44,26,23,6,71,5,0.242,0.289,0.332,0.621
이주형,키움,127,514,446,55,107,22,1,11,45,0,37,28,115,7,0.240,0.337,0.368,0.705
위즈덤,KIA,119,486,424,73,100,20,1,35,85,3,52,4,142,9,0.236,0.321,0.535,0.856
