선수명,팀,포지션,생년월일,키cm,몸무게kg,경기,타석,타수,득점,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살,도루,도루실패,타율,출루율,장타율,OPS
송성문,키움,,,,,144,646,574,103,181,37,4,26,90,68,1,96,6,25,2,0.315,0.387,0.530,0.917
레이예스,롯데,외야수,1994-10-05,196,87,144,643,573,75,187,44,1,13,107,58,3,66,25,7,1,0.326,0.386,0.475,0.861
디아즈,삼성,내야수,1996-11-19,188,105,144,628,551,93,173,32,0,50,158,60,6,100,15,1,0,0.314,0.381,0.644,1.025
노시환,한화,내야수,2000-12-03,185,105,144,624,539,97,140,28,2,32,101,70,11,125,22,14,5,0.260,0.354,0.497,0.851
김주원,NC,내야수,2002-07-30,185,83,144,624,539,98,156,26,8,15,65,63,16,111,8,44,11,0.289,0.379,0.451,0.830
구자욱,삼성,외야수,1993-02-12,189,75,142,616,529,106,169,43,2,19,96,73,5,91,9,4,1,0.319,0.402,0.516,0.918
문보경,LG,내야수,2000-07-19,182,88,141,607,515,91,142,21,1,24,108,79,4,108,15,3,1,0.276,0.371,0.460,0.831
박찬호,KIA,,,,,134,595,516,75,148,18,2,5,42,62,3,69,7,27,6,0.287,0.363,0.359,0.722
케이브,두산,,,,,136,593,538,72,161,28,6,16,87,43,4,116,7,17,1,0.299,0.351,0.463,0.814
문현빈,한화,외야수,2004-04-20,174,82,141,592,528,71,169,30,2,12,80,38,10,82,11,17,6,0.320,0.370,0.453,0.823
최지훈,SSG,외야수,1997-07-23,178,82,140,574,517,66,147,16,4,7,45,43,5,87,2,28,7,0.284,0.342,0.371,0.713
이재현,삼성,내야수,2003-02-04,180,82,139,555,457,82,116,29,1,16,67,69,11,119,8,6,1,0.254,0.360,0.427,0.787
김현수,LG,,,,,140,552,483,66,144,24,0,12,90,64,4,73,10,4,0,0.298,0.384,0.422,0.806
최형우,KIA,,,,,133,549,469,74,144,30,1,24,86,67,8,98,9,1,0,0.307,0.399,0.529,0.928
정수빈,두산,외야수,1990-10-07,175,70,132,546,462,89,119,16,4,6,38,61,11,57,7,26,13,0.258,0.355,0.348,0.703
박해민,LG,외야수,1990-02-24,180,75,144,544,442,80,122,18,2,3,43,68,8,94,7,49,14,0.276,0.379,0.346,0.725
문성주,LG,외야수,1997-02-20,175,78,135,542,475,57,145,20,2,3,70,54,4,59,10,4,3,0.305,0.375,0.375,0.750
김성윤,삼성,외야수,1999-02-02,163,62,127,538,456,92,151,29,9,6,61,65,5,54,11,26,7,0.331,0.419,0.474,0.893
신민재,LG,내야수,1996-01-21,171,67,135,538,463,87,145,15,7,1,61,62,3,57,7,15,9,0.313,0.395,0.382,0.777
박성한,SSG,내야수,1998-03-30,180,77,127,538,452,73,124,23,2,7,48,79,3,93,6,5,6,0.274,0.384,0.381,0.765
고승민,롯데,내야수,2000-08-11,189,92,121,538,469,71,127,21,2,4,45,56,3,83,8,5,1,0.271,0.350,0.350,0.700
채은성,한화,내야수,1990-02-06,186,92,132,527,480,54,138,27,1,19,88,31,13,96,4,1,2,0.288,0.347,0.467,0.814
박동원,LG,포수,1990-04-07,178,92,139,523,451,57,114,25,0,22,76,62,2,124,10,4,0,0.253,0.342,0.455,0.797
양의지,두산,포수,1987-06-05,180,95,130,517,454,56,153,27,1,20,89,50,7,63,10,4,2,0.337,0.406,0.533,0.939
이주형,키움,내야수,2002-07-05,183,105,11,17,16,2,5,0,0,0,2,1,0,7,0,0,0,0.313,0.353,0.313,0.666
한유섬,SSG,외야수,1989-08-09,190,105,128,511,455,50,124,24,0,15,71,46,7,120,6,1,0,0.273,0.347,0.424,0.771
최주환,키움,내야수,1988-02-28,177,73,120,506,459,45,126,31,1,12,74,36,5,66,8,0,0,0.275,0.330,0.425,0.755
고명준,SSG,내야수,2002-07-08,185,94,130,500,471,46,131,20,1,17,64,20,2,99,12,2,0,0.278,0.306,0.433,0.739
김휘집,NC,내야수,2002-01-01,180,92,142,500,429,64,107,18,2,17,56,40,27,89,9,10,2,0.249,0.349,0.420,0.769
김영웅,삼성,내야수,2003-08-24,183,81,125,499,446,66,111,22,2,22,72,48,2,143,6,6,2,0.249,0.323,0.455,0.778
오스틴,LG,내야수,1993-10-14,183,97,116,499,425,82,133,25,1,31,95,61,2,62,11,3,0,0.313,0.393,0.595,0.988
위즈덤,KIA,,,,,119,486,424,73,100,20,1,35,85,52,4,142,9,3,0,0.236,0.321,0.535,0.856
안현민,KT,외야수,2003-08-22,183,90,112,482,395,72,132,19,4,22,80,75,9,72,4,7,1,0.334,0.448,0.570,1.018
허경민,KT,내야수,1990-08-26,176,69,114,481,420,47,119,18,0,4,44,39,15,35,14,4,1,0.283,0.362,0.355,0.717
장성우,KT,포수,1990-01-17,187,100,129,480,413,44,102,13,0,14,58,55,2,96,13,0,1,0.247,0.333,0.380,0.713
오선우,KIA,내야수,1996-12-13,186,95,124,474,437,58,116,17,1,18,56,34,3,158,11,0,2,0.265,0.323,0.432,0.755
오지환,LG,내야수,1990-03-12,185,80,127,472,419,57,106,24,1,16,62,37,3,115,4,9,7,0.253,0.314,0.430,0.744
전준우,롯데,외야수,1986-02-25,184,98,114,472,410,50,120,26,1,8,70,44,9,71,9,2,1,0.293,0.369,0.420,0.789
박민우,NC,내야수,1993-02-06,185,80,117,468,404,64,122,25,8,3,67,44,12,64,5,28,8,0.302,0.384,0.426,0.810
강민호,삼성,포수,1985-08-18,185,100,127,465,412,37,111,23,1,12,71,38,7,69,16,2,2,0.269,0.336,0.417,0.753
류지혁,삼성,내야수,1994-01-13,181,75,129,464,400,54,112,14,0,1,37,33,13,73,11,11,6,0.280,0.351,0.323,0.674
권희동,NC,외야수,1990-12-30,177,85,136,456,358,56,88,24,0,6,39,77,11,80,10,5,5,0.246,0.393,0.363,0.756
최원준,NC,,,,,126,449,413,62,100,13,3,6,44,23,6,71,5,26,8,0.242,0.289,0.332,0.621
정준재,SSG,내야수,2003-01-03,165,68,132,442,371,58,91,10,3,0,25,51,3,93,4,37,8,0.245,0.340,0.288,0.628
박건우,NC,외야수,1990-09-08,184,80,124,442,384,43,111,24,1,9,67,47,5,63,6,6,4,0.289,0.370,0.427,0.797
데이비슨,NC,,,,,112,439,386,63,113,18,0,36,97,31,8,118,10,1,0,0.293,0.346,0.619,0.965
황재균,KT,,,,,112,424,385,50,106,19,0,7,48,34,2,84,2,3,1,0.275,0.336,0.379,0.715
김상수,KT,내야수,1990-03-23,175,68,113,423,355,42,90,14,0,5,47,52,4,57,8,3,1,0.254,0.349,0.335,0.684
김민혁,KT,외야수,1995-11-21,181,71,106,417,380,52,109,12,2,0,35,25,7,41,12,11,3,0.287,0.341,0.329,0.670
임지열,키움,외야수,1995-08-22,180,94,102,417,369,51,90,14,2,11,50,42,2,111,11,13,6,0.244,0.322,0.382,0.704
손아섭,한화,,,,,111,416,372,39,107,22,3,1,50,37,1,59,3,0,4,0.288,0.352,0.371,0.723
에레디아,SSG,외야수,1991-01-31,178,88,96,415,375,46,127,18,0,13,54,31,7,62,9,1,2,0.339,0.398,0.491,0.889
김형준,NC,포수,1999-11-02,187,98,127,415,362,51,84,10,1,18,55,45,3,126,7,3,0,0.232,0.320,0.414,0.734
김재환,두산,,,,,103,407,344,42,83,13,2,13,50,57,4,96,4,7,2,0.241,0.354,0.404,0.758
최정,SSG,내야수,1987-02-28,180,90,95,406,340,54,83,12,0,23,63,51,12,94,10,1,0,0.244,0.360,0.482,0.842
강승호,두산,내야수,1994-02-09,178,88,115,400,360,51,85,19,3,8,37,24,11,113,7,14,3,0.236,0.302,0.372,0.674
윤동희,롯데,외야수,2003-09-18,187,85,97,399,330,54,93,21,1,9,53,49,11,65,12,4,2,0.282,0.386,0.433,0.819
구본혁,LG,내야수,1997-01-11,177,75,131,397,343,41,98,16,2,1,38,36,6,44,4,10,5,0.286,0.364,0.353,0.717
나승엽,롯데,내야수,2002-02-15,190,82,105,392,328,40,75,12,2,9,44,55,5,65,10,0,0,0.229,0.347,0.360,0.707
로하스,KT,,,,,95,384,331,48,79,20,0,14,43,48,1,71,9,1,1,0.239,0.333,0.426,0.759
김호령,KIA,외야수,1992-04-30,178,85,105,381,332,46,94,26,3,6,39,34,6,94,4,12,1,0.283,0.359,0.434,0.793
손호영,롯데,외야수,1994-08-23,182,88,97,375,328,39,82,12,0,4,41,22,10,66,9,7,0,0.250,0.313,0.323,0.636
김지찬,삼성,외야수,2001-03-08,163,64,90,373,317,59,89,9,2,0,23,38,5,44,7,22,3,0.281,0.364,0.322,0.686
오명진,두산,내야수,2001-09-04,179,79,107,371,331,38,87,14,4,4,41,27,3,94,3,5,3,0.263,0.321,0.366,0.687
강백호,KT,,,,,95,369,321,41,85,18,1,15,61,44,3,64,9,2,4,0.265,0.358,0.467,0.825
전민재,롯데,내야수,1999-06-30,181,73,101,369,331,39,95,15,0,5,34,22,4,63,7,3,3,0.287,0.337,0.378,0.715
이진영,한화,외야수,1997-07-21,183,89,115,366,321,49,88,13,0,11,43,38,2,93,8,1,4,0.274,0.350,0.417,0.767
카디네스,키움,,,,,86,361,320,33,81,15,1,7,42,32,6,67,7,1,2,0.253,0.330,0.372,0.702
어준서,키움,내야수,2006-11-27,183,87,116,360,324,48,77,9,1,6,27,30,2,75,10,1,0,0.238,0.305,0.327,0.632
유강남,롯데,포수,1992-07-15,182,88,110,350,303,35,83,18,0,5,38,26,13,66,11,0,0,0.274,0.352,0.383,0.735
최재훈,한화,포수,1989-08-27,178,94,121,348,269,28,77,15,0,1,35,46,17,48,4,1,1,0.286,0.414,0.353,0.767
김건희,키움,포수,2004-11-07,186,96,105,344,322,24,78,20,2,3,25,13,0,102,10,2,1,0.242,0.270,0.345,0.615
김태연,한화,외야수,1997-06-10,178,96,120,340,303,40,79,15,0,3,20,23,8,62,10,5,3,0.261,0.329,0.340,0.669
이우성,NC,외야수,1994-07-17,182,95,105,337,300,28,75,22,1,3,33,31,2,66,8,2,1,0.250,0.321,0.360,0.681
이유찬,두산,내야수,1998-08-05,175,68,89,311,269,36,65,8,1,1,16,33,2,66,4,12,2,0.242,0.328,0.290,0.618
나성범,KIA,외야수,1989-10-03,183,100,82,310,261,30,70,16,0,10,36,42,6,79,6,0,0,0.268,0.381,0.444,0.825
권동진,KT,내야수,1998-09-12,178,83,123,309,271,34,61,12,3,1,25,30,1,91,8,3,1,0.225,0.304,0.303,0.607
김선빈,KIA,내야수,1989-12-18,165,77,84,308,271,31,87,18,1,3,46,31,3,35,9,4,0,0.321,0.395,0.428,0.823
하주석,한화,,,,,95,305,276,34,82,14,0,4,28,12,5,66,10,2,1,0.297,0.337,0.391,0.728
김태진,키움,내야수,1995-10-07,169,73,94,304,279,27,65,11,2,5,25,20,0,53,6,1,1,0.233,0.281,0.341,0.622
박준순,두산,내야수,2006-07-13,180,80,91,298,282,34,80,11,2,4,19,10,1,56,6,10,2,0.284,0.307,0.379,0.686
양석환,두산,내야수,1991-07-15,185,90,72,294,262,32,65,16,0,8,31,24,5,82,6,1,0,0.248,0.320,0.401,0.721
조형우,SSG,포수,2002-04-04,187,95,102,294,269,23,64,8,0,4,29,19,3,64,5,0,0,0.238,0.294,0.312,0.606
천재환,NC,외야수,1994-04-01,181,83,129,294,261,47,62,10,3,6,31,17,5,58,3,15,5,0.238,0.292,0.368,0.660
서호철,NC,내야수,1996-10-16,179,85,103,292,263,25,70,7,1,3,30,8,7,51,7,7,3,0.266,0.301,0.335,0.636
안상현,SSG,내야수,1997-01-27,178,74,102,289,258,38,68,8,2,6,15,18,2,85,2,17,6,0.264,0.314,0.380,0.694
황영묵,한화,내야수,1999-10-16,177,80,117,286,260,40,71,17,1,1,22,20,2,37,4,1,3,0.273,0.329,0.358,0.687
플로리얼,한화,,,,,65,285,258,36,70,18,2,8,29,24,1,65,2,13,3,0.271,0.333,0.450,0.783
장두성,롯데,외야수,1999-09-16,176,75,118,284,248,51,65,3,3,0,25,24,3,64,3,17,5,0.262,0.332,0.298,0.630
박주홍,키움,외야수,2001-04-16,187,87,102,283,248,33,56,11,3,3,23,30,1,72,5,11,1,0.226,0.310,0.331,0.641
이도윤,한화,내야수,1996-10-07,175,79,113,277,250,37,65,11,3,1,36,11,3,52,5,1,0,0.260,0.296,0.340,0.636
한준수,KIA,포수,1999-02-13,184,95,103,276,244,33,55,12,1,7,26,26,3,48,4,0,0,0.225,0.304,0.369,0.673
배정대,KT,외야수,1995-06-12,185,80,99,276,240,25,49,11,2,2,28,19,7,65,4,6,3,0.204,0.279,0.292,0.571
심우준,한화,내야수,1995-04-28,183,75,94,275,247,39,57,9,1,2,22,17,3,49,4,11,1,0.231,0.287,0.300,0.587
