선수명,팀,생년월일,키cm,몸무게kg,ERA,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,WHIP
후라도,삼성,,,,2.60,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.08
폰세,한화,,,,1.89,29,17,1,0,0,0.944,180 2/3,128,10,41,6,252,41,38,0.94
와이스,한화,,,,2.87,30,16,5,0,0,0.762,178 2/3,127,13,56,13,207,63,57,1.02
치리노스,LG,1993-12-26,188,102,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18
잭로그,두산,1996-04-23,183,84,2.81,30,10,8,0,1,0.556,176,146,8,39,17,156,66,55,1.05
로건,NC,,,,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43
라일리,NC,1996-07-09,190,100,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12
앤더슨,SSG,,,,2.25,30,12,7,0,0,0.632,171 2/3,121,13,51,9,245,53,43,1.00
원태인,삼성,2000-04-06,183,92,3.24,27,12,4,0,0,0.750,166 2/3,157,20,27,6,108,66,60,1.10
네일,KIA,1993-02-08,193,83,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07
헤이수스,KT,,,,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33
고영표,KT,1991-09-16,187,88,3.30,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24
박세웅,롯데,1995-11-30,182,85,4.93,29,11,13,0,0,0.458,160 2/3,183,15,54,8,156,99,88,1.48
임찬규,LG,1992-11-20,185,80,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27
하영민,키움,1995-05-07,183,74,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37
양현종,KIA,1988-03-01,183,91,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49
손주영,LG,1998-12-02,191,95,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32
올러,KIA,1994-10-17,193,102,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15
소형준,KT,2001-09-16,189,92,3.30,26,10,7,1,0,0.588,147 1/3,155,6,29,3,123,60,54,1.25
콜어빈,두산,,,,4.48,28,8,12,0,0,0.400,144 2/3,142,9,79,18,128,80,72,1.53
송승기,LG,2002-04-10,181,90,3.50,28,11,6,0,0,0.647,144,149,15,49,1,125,61,56,1.38
김광현,SSG,1988-07-22,188,88,5.00,28,10,10,0,0,0.500,144,164,13,50,4,138,86,80,1.49
류현진,한화,1987-03-25,190,113,3.23,26,9,7,0,0,0.563,139 1/3,144,12,25,4,122,54,50,1.21
나균안,롯데,1998-03-16,186,109,3.87,28,3,7,0,0,0.300,137 1/3,143,13,50,5,116,67,59,1.41
화이트,SSG,1994-12-28,190,95,2.87,24,11,4,0,0,0.733,134 2/3,111,9,44,8,137,51,43,1.15
오원석,KT,2001-04-23,182,80,3.67,25,11,8,0,0,0.579,132 1/3,130,10,52,4,113,60,54,1.38
신민혁,NC,1999-02-04,184,95,4.77,28,6,3,0,0,0.667,132,148,23,26,6,84,76,70,1.32
김도현,KIA,2000-09-15,183,87,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45
최원태,삼성,1997-01-07,184,104,4.92,27,8,7,0,0,0.533,124 1/3,128,13,51,12,109,72,68,1.44
데이비슨,롯데,,,,3.65,22,10,5,0,0,0.667,123 1/3,123,10,48,5,119,53,50,1.39
문동주,한화,2003-12-23,188,97,4.02,24,11,5,0,0,0.688,121,112,7,31,3,135,57,54,1.18
알칸타라,키움,1992-12-04,193,100,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.12
최승용,두산,2001-05-11,190,87,4.41,23,5,7,0,0,0.417,116 1/3,121,8,36,6,71,60,57,1.35
곽빈,두산,1999-05-28,187,95,4.20,19,5,7,0,0,0.417,109 1/3,96,9,41,2,107,55,51,1.25
감보아,롯데,,,,3.58,19,7,8,0,0,0.467,108,97,6,49,4,117,54,43,1.35
최원준,두산,1994-12-21,182,91,4.71,47,4,7,0,9,0.364,107,105,18,38,4,62,59,56,1.34
문승원,SSG,1989-11-28,180,88,5.13,23,4,7,0,0,0.364,105 1/3,109,16,38,5,61,61,60,1.40
이승현,삼성,1991-11-20,181,92,6.31,42,2,1,0,11,0.667,35 2/3,43,9,11,1,29,26,25,1.51
쿠에바스,KT,,,,5.40,18,3,10,0,0,0.231,98 1/3,104,13,46,5,60,69,59,1.53
김윤하,키움,2005-03-07,185,90,6.14,19,0,12,0,0,0.000,88,113,16,44,3,52,76,60,1.78
이민석,롯데,2003-12-10,189,95,5.26,20,2,5,0,0,0.286,87 1/3,104,10,56,2,61,56,51,1.83
전사민,NC,1999-07-06,194,85,4.26,74,7,7,2,13,0.500,82 1/3,86,3,33,11,62,45,39,1.45
정현우,키움,2006-04-13,181,91,5.86,18,3,7,0,0,0.300,81 1/3,92,8,48,6,55,63,53,1.72
엄상백,한화,1996-10-04,187,72,6.58,28,2,7,0,1,0.222,80 2/3,106,13,38,8,74,60,59,1.79
노경은,SSG,1984-03-11,187,100,2.14,77,3,6,3,35,0.333,80,60,2,25,3,68,22,19,1.06
가라비토,삼성,,,,2.64,15,4,4,0,0,0.500,78 1/3,56,6,37,6,84,31,23,1.19
김선기,키움,1991-09-01,187,98,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.83
최민석,두산,2006-07-02,188,84,4.40,17,3,3,0,0,0.500,77 2/3,72,7,34,5,53,41,38,1.36
조영건,키움,1999-02-04,180,85,5.68,51,5,5,8,7,0.500,77 2/3,84,12,38,4,47,51,49,1.57
이로운,SSG,2004-09-11,185,105,1.99,75,6,5,1,33,0.545,77,56,7,26,0,66,19,17,1.06
로젠버그,키움,1995-07-09,186,90,3.23,13,4,4,0,0,0.500,75 1/3,63,5,25,4,80,33,27,1.17
김진호,NC,1998-06-07,183,90,3.36,76,4,3,6,20,0.571,72 1/3,53,5,45,9,70,30,27,1.35
김강현,롯데,1995-02-27,177,84,4.00,67,2,2,0,4,0.500,72,69,9,21,7,36,37,32,1.25
김진성,LG,1985-03-07,186,90,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.20
전상현,KIA,1996-04-18,180,88,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.20
정철원,롯데,1999-03-27,192,95,4.24,75,8,3,0,21,0.727,70,72,4,28,7,55,34,33,1.43
김녹원,NC,2003-05-17,182,88,6.56,21,3,4,0,1,0.429,70,75,10,47,3,37,53,51,1.74
박진,롯데,1999-04-02,182,106,5.32,51,3,3,1,3,0.500,69 1/3,76,10,22,1,50,42,41,1.41
박영현,KT,2003-10-11,183,91,3.39,67,5,6,35,1,0.455,69,68,9,34,2,77,31,26,1.48
조병현,SSG,2002-05-08,182,90,1.60,69,5,4,30,0,0.556,67 1/3,42,5,18,0,79,13,12,0.89
이영하,두산,1997-11-01,192,91,4.05,73,4,4,0,14,0.500,66 2/3,63,4,39,6,72,33,30,1.53
박상원,한화,1994-09-09,187,98,4.19,74,4,3,0,16,0.571,66 2/3,67,4,21,8,52,35,31,1.32
김태훈,삼성,1992-03-02,187,101,4.48,73,2,6,2,19,0.250,66 1/3,66,8,26,2,74,34,33,1.39
김택연,두산,2005-06-03,181,88,3.53,64,4,5,24,0,0.444,66 1/3,47,6,31,5,79,31,26,1.18
에르난데스,LG,,,,4.23,14,4,4,0,0,0.500,66,53,7,24,5,73,32,31,1.17
김건우,SSG,2002-07-12,186,88,3.82,35,5,4,0,2,0.556,66,53,2,49,7,68,31,28,1.55
김서현,한화,2004-05-31,188,86,3.14,69,2,4,33,2,0.333,66,52,4,31,8,71,23,23,1.26
류진욱,NC,1996-10-10,189,88,3.27,62,4,3,29,0,0.571,66,50,6,28,6,57,27,24,1.18
