선수명,팀,포지션,생년월일,키cm,몸무게kg
강건,KT,투수,2004-07-12,183,85
강민성,KT,내야수,1999-12-08,180,85
강현우,KT,포수,2001-04-13,180,90
고영표,KT,투수,1991-09-16,187,88
고준혁,KT,투수,2005-05-29,186,81
권동진,KT,내야수,1998-09-12,178,83
권성준,KT,투수,2003-03-09,185,88
권효준,KT,투수,2003-02-23,181,90
김건웅,KT,투수,2004-04-12,187,90
김건휘,KT,내야수,2007-09-11,180,96
김경환,KT,외야수,2007-01-04,181,78
김규한,KT,투수,2005-07-26,192,94
김동현,KT,투수,2006-01-21,193,97
김민석,KT,포수,2005-07-22,181,93
김민성,KT,투수,2005-08-28,180,83
김민수,KT,투수,1992-07-24,188,80
김민혁,KT,외야수,1995-11-21,181,71
김상수,KT,내야수,1990-03-23,175,68
김유빈,KT,포수,2007-01-01,184,90
김정운,KT,투수,2004-04-21,184,84
김태오,KT,투수,1997-07-29,183,84
김현수,KT,외야수,1988-01-12,188,105
김휘연,KT,투수,2007-08-10,183,83
대니엘,KT,투수,1997-06-11,185,91
로건,KT,투수,1997-05-23,186,105
류현인,KT,내야수,2000-11-08,174,80
문상철,KT,내야수,1991-04-06,184,85
문용익,KT,투수,1995-02-04,178,93
박건우,KT,투수,2006-11-28,182,95
박민석,KT,외야수,2006-07-27,178,83
박성준,KT,내야수,2003-07-28,168,71
박영현,KT,투수,2003-10-11,183,91
박준혁,KT,투수,2006-03-10,178,84
박지훈,KT,투수,2007-01-19,188,90
박치성,KT,포수,2003-04-26,178,88
배정대,KT,외야수,1995-06-12,185,80
배제성,KT,투수,1996-09-29,189,85
보쉴리,KT,투수,1993-10-01,190,86
사우어,KT,투수,1999-01-21,193,104
소형준,KT,투수,2001-09-16,189,92
손동현,KT,투수,2001-01-23,183,88
손민석,KT,내야수,2004-06-21,177,70
스기모토,KT,투수,2000-05-19,182,90
신범준,KT,외야수,2002-06-01,189,78
안인산,KT,내야수,2001-02-27,181,95
안치영,KT,외야수,1998-05-29,176,72
안현민,KT,외야수,2003-08-22,183,90
오서진,KT,내야수,2006-02-22,188,80
오원석,KT,투수,2001-04-23,182,80
오윤석,KT,내야수,1992-02-24,180,87
우규민,KT,투수,1985-01-21,184,75
원상현,KT,투수,2004-10-16,183,83
유준규,KT,외야수,2002-08-16,176,69
윤상인,KT,투수,2004-04-01,183,80
이강민,KT,내야수,2007-01-27,181,82
이근혁,KT,투수,2001-05-29,184,79
이민준,KT,투수,2007-06-14,190,93
이상동,KT,투수,1995-11-24,181,88
이상우,KT,투수,2003-10-14,190,95
이승현,KT,내야수,2005-01-26,184,90
이용현,KT,내야수,2006-01-06,188,85
이원재,KT,투수,2003-05-07,187,98
이재원,KT,외야수,2007-04-27,180,80
이정범,KT,외야수,1998-04-10,178,88
이정현,KT,투수,1997-12-05,188,93
이정환,KT,포수,2006-04-12,182,90
이정훈,KT,외야수,1994-12-07,185,90
이준명,KT,투수,2002-12-18,193,100
이준희,KT,포수,2004-01-06,183,85
이채호,KT,투수,1998-11-23,185,85
이현민,KT,투수,2001-10-13,185,86
임상우,KT,내야수,2003-01-03,180,75
임준형,KT,투수,2000-11-16,180,82
장민호,KT,투수,2002-07-05,180,85
장성우,KT,포수,1990-01-17,187,100
장준원,KT,내야수,1995-11-21,183,77
장진혁,KT,외야수,1993-09-30,184,90
전용주,KT,투수,2000-02-12,188,87
정영웅,KT,외야수,1999-12-25,171,75
정정우,KT,투수,2004-01-13,185,83
정준영,KT,외야수,2004-01-26,173,73
정진호,KT,투수,2004-09-20,181,79
정현우,KT,투수,2007-02-10,190,90
조대현,KT,포수,1999-08-06,183,81
조이현,KT,투수,1995-06-27,185,95
주권,KT,투수,1995-05-31,181,82
지명성,KT,투수,2002-02-15,173,65
최동환,KT,투수,1989-09-19,184,83
최동희,KT,외야수,2003-07-26,184,80
최성민,KT,외야수,2002-07-05,179,84
최원준,KT,외야수,1997-03-23,178,85
최윤서,KT,투수,2003-03-21,185,95
한승주,KT,투수,2001-03-17,183,85
한승택,KT,포수,1994-06-21,174,83
한승혁,KT,투수,1993-01-03,185,100
한지웅,KT,투수,2003-07-07,189,82
한차현,KT,투수,1998-11-30,180,80
허경민,KT,내야수,1990-08-26,176,69
황의준,KT,외야수,2002-04-06,185,95
힐리어드,KT,내야수,1994-02-21,196,107
강민성,삼성,내야수,2006-02-22,183,85
강민호,삼성,포수,1985-08-18,185,100
강준서,삼성,외야수,2000-10-13,183,85
구자욱,삼성,외야수,1993-02-12,189,75
권현우,삼성,투수,2006-03-28,190,93
김도환,삼성,포수,2000-04-14,178,90
김동현,삼성,투수,2001-05-25,186,95
김무신,삼성,투수,1999-12-08,183,94
김백산,삼성,투수,2003-10-13,183,86
김상민,삼성,외야수,2003-12-06,183,83
김상준,삼성,내야수,2002-12-30,176,75
김상호,삼성,투수,2006-08-19,191,95
김서준,삼성,투수,2003-09-01,183,78
김성경,삼성,투수,1999-10-01,181,84
김성윤,삼성,외야수,1999-02-02,163,62
김시온,삼성,투수,2003-10-30,189,89
김영웅,삼성,내야수,2003-08-24,183,81
김유현,삼성,투수,2004-02-07,184,93
김재상,삼성,내야수,2004-07-26,180,81
김재성,삼성,포수,1996-10-30,185,85
김재윤,삼성,투수,1990-09-16,185,91
김재혁,삼성,외야수,1999-12-26,182,85
김지찬,삼성,외야수,2001-03-08,163,64
김태훈,삼성,투수,1992-03-02,187,101
김헌곤,삼성,외야수,1988-11-09,174,81
김현준,삼성,외야수,2002-10-11,178,78
디아즈,삼성,내야수,1996-11-19,188,105
류지혁,삼성,내야수,1994-01-13,181,75
매닝,삼성,투수,1998-01-28,198,98
미야지,삼성,투수,1999-08-02,186,90
박계범,삼성,내야수,1996-01-11,177,84
박권후,삼성,투수,2004-05-28,184,80
박세혁,삼성,포수,1990-01-09,181,86
박승규,삼성,외야수,2000-09-02,178,78
박시원,삼성,투수,2004-03-16,187,96
박용재,삼성,투수,2007-03-24,195,105
박장민,삼성,내야수,2003-09-02,179,80
박주영,삼성,투수,2007-07-11,183,89
박주혁,삼성,투수,2001-05-18,182,82
박진우,삼성,포수,2003-10-14,176,87
