영화명,개봉일,스크린수,상영횟수,순위,관객수,최종관객
위시,2024-01-03,1157,4338,1,110521,1391091
외계+인 2부,2024-01-10,1268,5147,1,94495,1417030
인투 더 월드,2024-01-10,807,1922,5,14739,334938
길위에 김대중,2024-01-10,404,579,6,10915,110919
스즈메의 문단속: 다녀왔어,2024-01-10,168,187,7,6145,24135
지오디 마스터피스 더 무비,2024-01-10,67,116,9,5209,34165
엔드 오브 에반게리온,2024-01-17,109,251,6,6323,38428
덤 머니,2024-01-17,465,862,7,5917,30358
시민덕희,2024-01-24,1136,4709,1,61242,1708356
도그맨,2024-01-24,496,1206,3,10203,42215
웡카,2024-01-31,1717,7405,1,179783,3526209
추락의 해부,2024-01-31,225,316,5,6792,86968
정글번치: 월드투어,2024-01-31,157,258,10,2085,42827
건국전쟁,2024-02-01,167,310,5,5411,1169975
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,2024-02-01,84,137,8,3976,3976
데드맨,2024-02-07,729,2241,2,28097,236304
소풍,2024-02-07,670,1732,3,21508,346451
도그데이즈,2024-02-07,847,2712,4,20706,358519
아가일,2024-02-07,824,2499,5,15459,138800
아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,416,499,8,4693,100262
아네모네,2024-02-07,57,71,10,1318,1769
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,388,1991,2,66192,482156
우견니,2024-02-14,143,450,8,4638,13577
에스파: 마이 퍼스트 페이지,2024-02-14,64,186,10,3093,3247
스노우 퍼핀즈,2024-02-15,249,270,8,2652,8249
사운드 오브 프리덤,2024-02-21,248,710,6,8148,51500
극장판 츠루네: 시작의 한 발,2024-02-21,119,275,8,3654,11526
바튼 아카데미,2024-02-21,254,412,9,3318,22587
월레스와 그로밋 더 클래식 컬렉션,2024-02-21,47,75,10,3190,11340
파묘,2024-02-22,1944,7535,1,330118,11902097
기적의 시작,2024-02-22,130,168,8,2068,16575
듄: 파트2,2024-02-28,1544,5047,2,152952,2010321
브레드이발소: 셀럽 인 베이커리타운,2024-03-01,325,571,4,35365,200628
아이엠 티라노,2024-03-01,227,401,6,15261,45256
가여운 것들,2024-03-06,471,838,3,13536,148224
패스트 라이브즈,2024-03-06,606,1112,4,8376,114943
대결! 애니메이션,2024-03-06,103,170,9,2122,4244
밥 말리: 원 러브,2024-03-13,579,1223,3,9496,33938
메이 디셈버,2024-03-13,400,591,4,7904,26428
랜드 오브 배드,2024-03-13,385,679,5,5369,43071
마담 웹,2024-03-13,648,1055,8,3586,13442
극장판 스파이 패밀리 코드 : 화이트,2024-03-20,917,3220,2,37384,261502
목스박,2024-03-20,122,158,5,2506,16460
나이트 스윔,2024-03-20,189,319,9,1720,14090
왓츠 러브,2024-03-20,186,258,10,1641,3138
탐정 말로,2024-03-21,172,318,4,4247,15385
이승윤 콘서트 도킹 : 리프트오프,2024-03-22,61,111,4,5360,11079
댓글부대,2024-03-27,1217,4787,1,127677,970344
고질라 X 콩: 뉴 엠파이어,2024-03-27,995,3607,3,55662,506726
1980,2024-03-27,521,870,6,6618,36829
악은 존재하지 않는다,2024-03-27,130,183,8,4208,38988
비키퍼,2024-04-03,688,1542,3,17837,98966
오멘: 저주의 시작,2024-04-03,632,1381,4,14278,177093
유미의 세포들 더 무비,2024-04-03,402,1236,5,11557,68686
기동전사 건담 시드 프리덤,2024-04-03,418,670,7,8306,58401
씬,2024-04-03,386,588,10,4586,31745
쿵푸팬더4,2024-04-10,2311,10626,1,429108,1766417
골드핑거,2024-04-10,423,768,7,10077,31295
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,2024-04-10,83,349,8,9169,24919
고스트버스터즈: 오싹한 뉴욕,2024-04-17,582,1742,3,6299,50743
범죄도시4,2024-04-24,2930,15674,1,821466,11495435
챌린저스,2024-04-24,458,820,4,5518,74759
여행자의 필요,2024-04-24,56,96,6,1138,4099
몬스터 프렌즈,2024-04-25,118,122,6,1508,8040
스턴트맨,2024-05-01,801,2244,3,35374,208520
"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,658,1446,4,32926,150856
극장판 실바니안 패밀리: 프레야의 선물,2024-05-01,188,280,7,3948,18171
꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,154,205,8,3851,24458
혹성탈출: 새로운 시대,2024-05-08,1182,4000,2,51866,901098
악마와의 토크쇼,2024-05-08,254,707,3,7285,90836
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,1212,4178,2,172858,754737
그녀가 죽었다,2024-05-15,898,3179,3,106881,1236562
가필드 더 무비,2024-05-15,852,2234,4,100348,339094
이프: 상상의 친구,2024-05-15,658,1109,6,35363,100788
퓨리오사: 매드맥스 사가,2024-05-22,1419,5019,1,75376,1600701
청춘 18X2 너에게로 이어지는 길,2024-05-22,635,1813,5,15195,104586
별처럼 빛나는 너에게 더무비-일섬일섬량성성 ,2024-05-22,158,248,10,1078,6049
설계자,2024-05-29,1345,6076,1,124067,514448
드림 시나리오,2024-05-29,392,721,6,9024,24283
결속밴드 라이브 -항성-,2024-05-29,72,138,7,3919,3919
빼꼼: 미션 투 마스,2024-06-01,151,304,8,4745,9411
바커스: 슈퍼스타가 될 거야,2024-06-01,173,295,9,3907,8546
원더랜드,2024-06-05,1165,5090,1,82871,620887
명탐정 코난 VS 괴도 키드,2024-06-05,217,585,6,14909,107277
존 오브 인터레스트,2024-06-05,381,646,7,10497,179204
김준수 콘서트 무비 챕터 원 : 레크리에이션,2024-06-05,65,125,8,3682,33094
금지된 장난 ,2024-06-05,118,227,10,2228,2547
나쁜 녀석들: 라이드 오어 다이,2024-06-06,767,2401,4,37855,128353
인사이드 아웃 2,2024-06-12,2177,10241,1,194831,8760451
드라이브,2024-06-12,581,1444,2,14332,69277
타로,2024-06-14,128,247,8,5709,11413
