순위,영화명,개봉일,누적관객
1,명량,2014-07-30,17597914
2,왕과 사는 남자,2026-02-04,16880997
3,극한직업,2019-01-23,16243231
4,신과함께-죄와 벌,2017-12-20,14398110
5,국제시장,2014-12-17,14198690
6,어벤져스: 엔드게임,2019-04-24,13967234
7,겨울왕국 2,2019-11-21,13721190
8,베테랑,2015-08-05,13397762
9,아바타,2009-12-17,13324025
10,서울의 봄,2023-11-22,13114138
11,도둑들,2012-07-25,12979237
12,알라딘,2019-05-23,12794298
13,7번방의 선물,2013-01-23,12786081
14,범죄도시2,2022-05-18,12684545
15,암살,2015-07-22,12679383
16,"광해, 왕이 된 남자",2012-09-13,12274154
17,신과함께-인과 연,2018-08-01,12264813
18,택시운전사,2017-08-02,12176753
19,파묘,2024-02-22,11898834
20,부산행,2016-07-20,11531866
21,범죄도시4,2024-04-24,11492094
22,변호인,2013-12-18,11311449
23,해운대,2009-07-22,11276049
24,어벤져스: 인피니티 워,2018-04-25,11176953
25,괴물,2006-07-27,10892305
26,아바타: 물의 길,2022-12-14,10772840
27,범죄도시3,2023-05-31,10673784
28,어벤져스: 에이지 오브 울트론,2015-04-23,10501765
29,왕의 남자,2005-12-29,10489308
30,인터스텔라,2014-11-06,10370394
31,겨울왕국,2014-01-16,10324794
32,기생충,2019-05-30,10307053
33,보헤미안 랩소디,2018-10-31,9910706
34,검사외전,2016-02-03,9664799
35,엑시트,2019-07-31,9407840
36,설국열차,2013-08-01,9321959
37,관상,2013-09-11,9121108
38,아이언맨 3,2013-04-25,8968799
39,인사이드 아웃 2,2024-06-12,8754802
40,캡틴 아메리카: 시빌 워,2016-04-27,8650500
41,수상한 그녀,2014-01-22,8642334
42,해적: 바다로 간 산적,2014-08-06,8625574
43,주토피아 2,2025-11-26,8589640
44,탑건: 매버릭,2022-06-22,8270540
45,백두산,2019-12-19,8242478
46,과속스캔들,2008-12-03,8199215
47,스파이더맨: 브랜드 뉴 데이,2026-07-29,8127603
48,국가대표,2009-07-29,8002297
49,스파이더맨: 파 프롬 홈,2019-07-02,7996657
50,디워,2007-08-01,7854274
51,공조,2017-01-18,7796328
52,트랜스포머 3,2011-06-29,7768284
