날짜,순위,영화코드,영화명,개봉일,일관객,누적관객,스크린수,상영횟수
20260902,1,20250654,오디세이,2026-08-05,107004,9231219,1609,4821
20260902,2,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,26223,8626135,659,1676
20260902,3,20265146,옵세션,2026-09-02,23956,24894,618,1307
20260902,4,20204641,비광,2026-09-02,16036,17831,667,1544
20260902,5,20247458,경주기행,2026-08-26,12730,238503,572,1041
20260902,6,20264918,싱 어게인,2026-09-02,10500,11889,607,1014
20260902,7,20265573,인 더 그레이,2026-09-02,2959,3115,156,295
20260902,8,20264635,명탐정 코난: 하이웨이의 타천사,2026-08-12,2394,410932,190,213
20260902,9,20167922,핵소 고지,2017-02-22,2292,181576,89,139
20260902,10,20127108,모모와 다락방의 수상한 요괴들,2012-07-05,2207,302945,95,131
