영화코드,영화명,개봉일,장르,대표장르,국가,대표국가
19820019,만추,20110217.0,멜로/로맨스,멜로/로맨스,"한국,미국,홍콩",한국
19880001,이웃집 토토로,20010728.0,"애니메이션,드라마",애니메이션,일본,일본
19888010,시네마 천국,19900707.0,"드라마,멜로/로맨스",드라마,"프랑스,이탈리아",프랑스
19900100,(정보 없음),,,,,
19910182,늑대와 춤을,19910331.0,"서부극(웨스턴),드라마",서부극(웨스턴),미국,미국
19910247,터미네이터2 3D,19910706.0,"액션,SF,스릴러",액션,미국,미국
19920231,미녀와 야수,19920704.0,"애니메이션,드라마,가족",애니메이션,미국,미국
19930176,쥬라기 공원,19930717.0,"SF,액션,어드벤처",SF,미국,미국
19940256,라이온 킹,19940702.0,"애니메이션,어드벤처,가족,뮤지컬,드라마",애니메이션,미국,미국
19950084,쇼생크 탈출,19950204.0,드라마,드라마,미국,미국
19950095,레옹,19950218.0,"액션,범죄",액션,프랑스,프랑스
19960041,아기공룡 둘리-얼음별 대모험,19960724.0,"애니메이션,어드벤처,코미디,가족",애니메이션,한국,한국
19960126,비포 선라이즈,19960330.0,"멜로/로맨스,드라마",멜로/로맨스,"미국,오스트리아 ,스위스",미국
19970100,첨밀밀,19970301.0,멜로/로맨스,멜로/로맨스,홍콩,홍콩
19978805,큐어,20220706.0,공포(호러),공포(호러),일본,일본
19980074,타이타닉,19980220.0,"드라마,멜로/로맨스,액션",드라마,미국,미국
19980231,트루먼 쇼,19981024.0,"드라마,코미디,판타지",드라마,미국,미국
19988717,명탐정 코난: 14번째 표적,20250214.0,애니메이션,애니메이션,일본,일본
19990140,인생은 아름다워,19990306.0,"드라마,전쟁,코미디",드라마,이탈리아,이탈리아
19990216,스타워즈:에피소드1 보이지 않는 위험,19990626.0,"SF,액션,어드벤처,판타지",SF,미국,미국
19990220,노팅 힐,19990703.0,"멜로/로맨스,코미디",멜로/로맨스,"미국,영국",미국
20010083,반지의 제왕 : 반지원정대,20011231.0,드라마,드라마,미국,미국
20010238,메멘토,20010824.0,"미스터리,범죄,스릴러",미스터리,미국,미국
20010241,브리짓 존스의 일기,20010901.0,"멜로/로맨스,코미디",멜로/로맨스,영국,영국
20010291,해리포터와 마법사의 돌,20011213.0,"가족,판타지",가족,미국,미국
20010292,몬스터 주식회사,20011220.0,"애니메이션,코미디",애니메이션,미국,미국
20020168,센과 치히로의 행방불명,20020627.0,"애니메이션,어드벤처,가족,판타지",애니메이션,일본,일본
20020186,헤드윅,20020809.0,뮤지컬,뮤지컬,미국,미국
20020222,해리포터와 비밀의 방,20021213.0,드라마,드라마,미국,미국
20020234,반지의 제왕 : 두 개의 탑,20021219.0,"액션,어드벤처,판타지",액션,미국,미국
20030047,모노노케 히메,20030425.0,"애니메이션,드라마,액션,어드벤처",애니메이션,일본,일본
20030072,니모를 찾아서,20030605.0,"애니메이션,코미디,어드벤처,가족",애니메이션,미국,미국
20030206,베이직,20040206.0,액션,액션,미국,미국
20030272,4월 이야기,20000408.0,"멜로/로맨스,드라마",멜로/로맨스,일본,일본
20030316,반지의 제왕 : 왕의 귀환,20031217.0,"판타지,어드벤처",판타지,미국,미국
20030350,올드보이,20031121.0,스릴러,스릴러,한국,한국
20030371,태극기 휘날리며,20040205.0,"전쟁,드라마",전쟁,한국,한국
20030401,바람계곡의 나우시카,20001230.0,"애니메이션,어드벤처,판타지,SF",애니메이션,일본,일본
20030404,러브 액츄얼리,20031205.0,"멜로/로맨스,드라마,코미디",멜로/로맨스,"미국,영국",미국
20030408,해피 에로 크리스마스,20031217.0,드라마,드라마,한국,한국
20030410,실미도,20031224.0,전쟁,전쟁,한국,한국
20030413,목포는 항구다,20040220.0,"드라마,코미디",드라마,한국,한국
20030420,동해물과 백두산이,20031231.0,코미디,코미디,한국,한국
20030426,더 캣,20031231.0,"판타지,어드벤처",판타지,미국,미국
20030430,라스트 사무라이,20040109.0,액션,액션,미국,미국
20030433,말죽거리 잔혹사,20040116.0,"액션,멜로/로맨스",액션,한국,한국
20030434,안녕! 유에프오,20040130.0,드라마,드라마,한국,한국
20030435,내사랑 싸가지,20040116.0,코미디,코미디,한국,한국
20030436,브라더 베어,20040116.0,드라마,드라마,미국,미국
20030437,런어웨이,20040130.0,스릴러,스릴러,미국,미국
20030439,그녀를 모르면 간첩,20040130.0,코미디,코미디,한국,한국
20030440,자토이치,20040130.0,액션,액션,일본,일본
20040441,빙우,20040116.0,드라마,드라마,한국,한국
20040442,피터 팬,20040116.0,"어드벤처,가족,판타지",어드벤처,미국,미국
20040443,페이첵,20040122.0,액션,액션,미국,미국
20040446,그녀를 믿지 마세요,20040220.0,코미디,코미디,한국,한국
20040447,스쿨 오브 락,20040227.0,코미디,코미디,영국,영국
20040448,타임라인,20040227.0,SF,SF,미국,미국
20040455,무간도3: 종극무간,20040702.0,드라마,드라마,홍콩,홍콩
20040456,어깨동무,20040312.0,코미디,코미디,한국,한국
20040459,스파이 키드 3D,20040213.0,액션,액션,미국,미국
20040460,열두명의 웬수들,20040213.0,코미디,코미디,미국,미국
20040461,콜드 마운틴,20040220.0,전쟁,전쟁,미국,미국
20040462,빅 피쉬,20040305.0,판타지,판타지,미국,미국
20040464,8명의 여인들,20040227.0,코미디,코미디,프랑스,프랑스
20040467,사랑할 때 버려야 할 아까운 것들,20040213.0,코미디,코미디,미국,미국
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,20040312.0,코미디,코미디,한국,한국
20040472,귀여워,20041126.0,"드라마,코미디",드라마,한국,한국
20040476,사랑도 통역이 되나요?,20040220.0,"멜로/로맨스,액션",멜로/로맨스,미국,미국
20040479,휴먼 스테인,20040305.0,드라마,드라마,미국,미국
20040481,어린 신부,20040402.0,코미디,코미디,한국,한국
20040482,맹부삼천지교,20040326.0,코미디,코미디,한국,한국
20040483,효자동 이발사,20040505.0,드라마,드라마,한국,한국
20040484,하류인생,20040521.0,액션,액션,한국,한국
20040486,마지막 늑대,20040401.0,코미디,코미디,한국,한국
20040487,범죄의 재구성,20040415.0,스릴러,스릴러,한국,한국
20040488,아라한 장풍대작전,20040430.0,"액션,드라마",액션,한국,한국
20040489,여자는 남자의 미래다,20040505.0,드라마,드라마,한국,한국
20040490,투모로우,20040603.0,SF,SF,미국,미국
20040491,스파이더맨 2,20040630.0,SF,SF,미국,미국
20040496,아홉살 인생,20040326.0,드라마,드라마,한국,한국
20040498,그놈은 멋있었다,20040722.0,코미디,코미디,한국,한국
20040499,저지 걸,20040409.0,멜로/로맨스,멜로/로맨스,미국,미국
20040505,사마리아,20040305.0,드라마,드라마,한국,한국
20040506,허니,20040326.0,드라마,드라마,미국,미국
20040509,모나리자 스마일,20040319.0,드라마,드라마,미국,미국
20040512,헌티드,20040312.0,액션,액션,미국,미국
20040514,바람의 전설,20040409.0,드라마,드라마,한국,한국
20040515,인어 공주,20040630.0,드라마,드라마,한국,한국
20040519,히달고,20040319.0,액션,액션,미국,미국
20040521,더티 댄싱 - 하바나 나이트,20040423.0,멜로/로맨스,멜로/로맨스,미국,미국
20040522,폴리와 함께,20040402.0,멜로/로맨스,멜로/로맨스,미국,미국
20040524,테이킹 라이브즈,20040415.0,스릴러,스릴러,미국,미국
20040525,패션 오브 크라이스트,20040402.0,드라마,드라마,미국,미국
20040526,첫키스만 50번째,20040415.0,코미디,코미디,미국,미국
20040528,고티카,20040402.0,공포(호러),공포(호러),미국,미국
20040533,인 더 컷,20040430.0,스릴러,스릴러,미국,미국
20040537,라이어,20040423.0,"코미디,멜로/로맨스",코미디,한국,한국
20040543,스쿠비-두2 : 몬스터 대소동,20040430.0,코미디,코미디,미국,미국
20040544,스타스키와 허치,20040430.0,액션,액션,미국,미국
20040549,천공의 성 라퓨타,20040430.0,애니메이션,애니메이션,일본,일본
20040553,새벽의 저주,20040514.0,"공포(호러),스릴러",공포(호러),"미국,캐나다,일본,프랑스",미국
20040554,가족,20040903.0,드라마,드라마,한국,한국
20040555,트로이,20040521.0,사극,사극,미국,미국
20040556,킬 빌2,20040514.0,액션,액션,미국,미국
20040559,나두야 간다,20040625.0,코미디,코미디,한국,한국
20040566,슈렉2,20040618.0,애니메이션,애니메이션,미국,미국
20040567,투 가이즈,20040709.0,코미디,코미디,한국,한국
20040568,내 여자친구를 소개합니다,20040603.0,"멜로/로맨스,드라마",멜로/로맨스,한국,한국
20040569,디 아이2,20040526.0,공포(호러),공포(호러),홍콩,홍콩
20040570,옹박 - 무에타이의 후예,20040526.0,액션,액션,태국,태국
20040571,령,20040617.0,공포(호러),공포(호러),한국,한국
20040573,킹 아더,20040723.0,사극,사극,미국,미국
20040576,늑대의 유혹,20040722.0,드라마,드라마,한국,한국
20040579,블러디 선데이,20040618.0,드라마,드라마,영국,영국
20040580,반 헬싱,20040730.0,액션,액션,미국,미국
20040581,퀸카로 살아남는 법,20040903.0,코미디,코미디,미국,미국
20040582,내 남자 친구는 왕자님,20040618.0,멜로/로맨스,멜로/로맨스,미국,미국
20040583,아는 여자,20040625.0,드라마,드라마,한국,한국
20040585,내 남자의 로맨스,20040716.0,드라마,드라마,한국,한국
20040588,레이디킬러,20040604.0,코미디,코미디,미국,미국
20040589,페이스,20040611.0,공포(호러),공포(호러),한국,한국
20040591,데스티네이션 2,20040611.0,공포(호러),공포(호러),미국,미국
20040592,몬스터,20040618.0,드라마,드라마,독일,독일
20040593,분신사바,20040805.0,공포(호러),공포(호러),한국,한국
20040595,"달마야, 서울 가자",20040709.0,코미디,코미디,한국,한국
20040596,바람의 파이터,20040812.0,액션,액션,한국,한국
20040597,"아이, 로봇",20040730.0,SF,SF,미국,미국
20040598,해리포터와 아즈카반의 죄수,20040716.0,드라마,드라마,미국,미국
20040600,프레디 대 제이슨-13일의 금요일11,20040827.0,공포(호러),공포(호러),미국,미국
20040605,착신아리,20040709.0,공포(호러),공포(호러),일본,일본
20040608,거미숲,20040903.0,"미스터리,범죄",미스터리,한국,한국
20040610,화씨 911,20040722.0,다큐멘터리,다큐멘터리,미국,미국
20040612,신부수업,20040805.0,"드라마,멜로/로맨스",드라마,한국,한국
20040613,알포인트,20040820.0,전쟁,전쟁,한국,한국
20040614,인형사,20040730.0,공포(호러),공포(호러),한국,한국
20040615,본 슈프리머시,20040820.0,액션,액션,미국,미국
20040616,가필드,20040819.0,코미디,코미디,미국,미국
20040617,시실리 2km,20040813.0,코미디,코미디,한국,한국
20040618,리딕 - 헬리온 최후의 빛,20040813.0,SF,SF,미국,미국
20040619,슈퍼스타 감사용,20040917.0,드라마,드라마,한국,한국
20040623,헬보이,20040820.0,SF,SF,미국,미국
20040624,누구나 비밀은 있다,20040730.0,"코미디,멜로/로맨스",코미디,한국,한국
20040625,얼굴 없는 미녀,20040806.0,스릴러,스릴러,한국,한국
20040628,우리 형,20041008.0,드라마,드라마,한국,한국
20040631,터미널,20040827.0,드라마,드라마,미국,미국
20040637,쓰리 몬스터,20040820.0,공포(호러),공포(호러),"한국,홍콩,일본",한국
20040638,텍사스 전기톱 연쇄살인사건,20050616.0,공포(호러),공포(호러),미국,미국
20040640,연인,20040910.0,"멜로/로맨스,액션",멜로/로맨스,중국,중국
