movieCd,movieNm,openDt,director,actors_n,lead_n,showTm,watchGrade,company
19868242,연지구 디 오리지널 4K,20260325,관금붕,2,2,96,15세이상관람가,와이드 릴리즈(주)
20018158,이누야샤 극장판: 시대를 초월한 마음,20260909,시노하라 토시야,2,2,100,12세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20088147,줄무늬 파자마를 입은 소년,20260423,마크 허만,3,3,94,12세이상관람가,(주)팝엔터테인먼트
20125316,석류의 빛깔 ,20251126,세르게이 파라자노프,0,0,80,12세이상관람가,주식회사 오디언스
20192680,끝장수사,20260402,박철환,52,3,97,15세이상관람가,(주)에이스메이커무비웍스
20204641,비광,20260902,이지원,10,3,109,15세이상관람가,(주)엠디에스스피어
20228988,보스,20251003,라희찬,46,3,97,15세이상관람가,(주)하이브미디어코프
20232662,삼악도,20260311,채기준,38,3,99,15세이상관람가,TCO(주)더콘텐츠온
20233039,살인자 리포트,20250905,조영준,7,3,107,청소년관람불가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20233219,호프,20260715,나홍진,32,3,156,15세이상관람가,메가박스중앙(주) 플러스엠 엔터테인먼트
20233259,정보원,20251203,김석,8,3,102,15세이상관람가,(주)영화특별시에스엠씨
20236493,지느러미,20260722,박세영,19,3,83,15세이상관람가,(주)에무필름즈
20240206,전력질주,20250910,이승훈,5,3,97,12세이상관람가,(주)레드아이스 엔터테인먼트
20240400,슈가,20260121,최신춘,8,3,105,전체관람가,스튜디오타겟(주)
20240532,짱구,20260422,오성호/정우,51,3,95,15세이상관람가,(주)바이포엠스튜디오
20241266,휴민트,20260211,류승완,38,3,119,15세이상관람가,(주)넥스트엔터테인먼트월드(NEW)
20241501,매드 댄스 오피스,20260304,조현진,12,3,106,전체관람가,(주)디스테이션
20241575,메소드연기,20260318,이기혁,8,3,92,12세이상관람가,(주)바이포엠스튜디오
20242374,한란,20251126,하명미,2,2,118,12세이상관람가,(주)트리플픽쳐스
20242402,눈동자,20260624,염지호,6,3,105,15세이상관람가,(주)바이포엠스튜디오
20242837,왕과 사는 남자,20260204,장항준,80,3,116,12세이상관람가,(주)쇼박스
20242964,얼굴,20250911,연상호,34,3,102,15세이상관람가,메가박스중앙(주) 플러스엠 엔터테인먼트
20243405,나혼자 프린스,20251119,김성훈,12,3,116,12세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20243561,어쩔수가없다,20250924,박찬욱,10,3,138,15세이상관람가,(주)씨제이이엔엠
20243864,연의 편지,20251001,김용환,15,3,96,12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20244606,바로 지금 여기,20250917,김진열/남태제/문정현,0,0,94,12세이상관람가,미디어나무(주)
20245485,귀시,20250917,홍원기,22,3,96,15세이상관람가,(주)바이포엠스튜디오
20246546,보이,20260114,이상덕,7,3,90,15세이상관람가,(주)영화특별시에스엠씨
20247245,홈캠,20250910,오세호,30,3,93,15세이상관람가,주식회사 로아앤코홀딩스
20247429,세계의 주인,20251022,윤가은,27,3,119,12세이상관람가,(주)바른손이앤에이
20247457,신의악단,20251231,김형협,17,3,110,15세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20247458,경주기행,20260826,김미조,5,3,110,15세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20247648,내 이름은,20260415,정지영,51,3,112,15세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20247690,시스터,20260128,진성문,4,3,86,15세이상관람가,주식회사 로아앤코홀딩스
20248252,와일드 씽,20260603,손재곤,42,3,107,12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20248484,신사: 악귀의 속삭임,20260617,구마키리 가즈요시,2,2,96,15세이상관람가,주식회사 로아앤코홀딩스
20249255,만약에 우리,20251231,김도영,11,3,114,15세이상관람가,(주)쇼박스
20249326,윗집 사람들,20251203,하정우,4,3,107,청소년관람불가,(주)바이포엠스튜디오
20249624,프로젝트 Y,20260121,이환,116,3,108,15세이상관람가,메가박스중앙(주) 플러스엠 엔터테인먼트
20249641,나쁜계집애: 달려라 하니,20251007,허정수,7,3,91,전체관람가,(주)넥스트엔터테인먼트월드(NEW)
20250024,블루 아카이브 : 디 오케스트라 인 시네마,20251212,조윤수,0,0,127,15세이상관람가,롯데컬처웍스(주)롯시플
20250112,극장판 총집편 걸즈 밴드 크라이 청춘광주곡,20260128,사카이 카즈오,0,0,110,12세이상관람가,(주)애니플러스
20250115,굿 포츈,20260107,아지즈 안사리,5,3,97,15세이상관람가,(주)누리픽쳐스
20250188,하트맨,20260114,최원섭,7,3,99,12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20250299,고고다이노 극장판: 곤충세계 대모험,20260114,이선명,9,3,65,전체관람가,(주)모꼬지
20250365,햄넷,20260225,클로이 자오,7,3,125,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
20250413,다이 마이 러브,20260304,린 램지,2,2,118,청소년관람불가,(주)누리픽쳐스
20250438,끝이 없는 스칼렛,20260114,호소다 마모루,3,3,111,12세이상관람가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20250444,코드: G 주목의 시작,20251227,김영기/김주신/홍기선,0,0,101,15세이상관람가,주식회사 케이티스튜디오지니
20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",20260114,최우석,3,3,86,전체관람가,(주)씨제이이엔엠
20250489,슈퍼걸,20260624,크레이그 질레스피,3,3,107,12세이상관람가,워너브러더스 코리아(주)
20250563,정글비트 2,20260129,샘 윌슨,0,0,80,전체관람가,(주)박수엔터테인먼트
20250604,극장판 엉덩이 탐정: 스타 앤드 문,20260207,,4,3,76,전체관람가,씨제이 씨지브이(CJ CGV)(주)
20250644,직장상사 길들이기,20260128,샘 레이미,2,2,112,15세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20250654,오디세이,20260805,크리스토퍼 놀란,10,3,172,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
20250655,디스클로저 데이,20260610,스티븐 스필버그,5,3,145,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
20250686,하우스메이드,20260128,폴 페이그,3,3,131,청소년관람불가,(주)누리픽쳐스
20250840,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,20260212,,9,3,58,전체관람가,와이드 릴리즈(주)
20250875,우리는 매일매일,20260304,김민재,5,3,,12세이상관람가,(주)제이앤씨미디어그룹
20250878,노 머시: 90분,20260204,티무르 베크맘베토브,5,3,99,15세이상관람가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20252373,넘버원,20260211,김태용,3,3,104,12세이상관람가,(주)바이포엠스튜디오
20252402,군체,20260521,연상호,15,3,122,15세이상관람가,(주)쇼박스
20252432,주토피아 2,20251126,재러드 부시/바이론 하워드,3,3,108,전체관람가,월트디즈니컴퍼니코리아 유한책임회사
20252801,교생실습,20260513,김민하,23,3,94,12세이상관람가,주식회사 로아앤코홀딩스
20253340,구원자,20251105,신준,3,3,103,15세이상관람가,(주)마인드마크
20253852,퍼스트 라이드,20251029,남대중,13,3,116,12세이상관람가,(주)쇼박스
20253906,프레디의 피자가게 2,20251203,엠마 타미,3,3,103,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
20254021,트론: 아레스,20251008,요아킴 뢰닝,5,3,118,12세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20254054,여행과 나날,20251210,미야케 쇼,3,3,89,12세이상관람가,(주)엣나인필름
20254121,살목지,20260408,이상민,10,3,95,15세이상관람가,(주)쇼박스
20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",20251224,김혜영,49,3,105,12세이상관람가,(주)바이포엠스튜디오
20254375,프레데터: 죽음의 땅,20251105,댄 트라첸버그,1,1,107,15세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20255381,위키드: 포 굿,20251119,존 추,8,3,137,전체관람가,유니버설픽쳐스인터내셔널 코리아(유)
20255484,오케이 마담2,20260812,이철하,12,3,108,15세이상관람가,씨지브이 픽처스
20256025,더 러닝 맨,20251210,에드가 라이트,5,3,132,15세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20256071,투게더,20250903,마이클 쉥크스,2,2,102,15세이상관람가,그린나래미디어(주)
20256173,스폰지밥 무비: 네모바지를 찾아서,20260101,데릭 드라이먼,2,2,95,전체관람가,롯데컬처웍스(주)롯데엔터테인먼트
20256308,인턴,20260916,김도영,11,3,132,12세이상관람가,워너브러더스 코리아(주)
20256320,부고니아,20251105,요르고스 란티모스,3,3,118,청소년관람불가,(주)씨제이이엔엠
20256396,아바타: 불과 재,20251217,제임스 카메론,8,3,197,12세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20256397,원 배틀 애프터 어나더,20251001,폴 토마스 앤더슨,6,3,161,15세이상관람가,워너브러더스 코리아(주)
20256526,브레드이발소: 베이커리타운의 악당들,20250927,정지환,10,3,70,전체관람가,씨제이 씨지브이(CJ CGV)(주)
20256684,웨폰,20251015,잭 크레거,7,3,128,청소년관람불가,워너브러더스 코리아(주)
20256702,컨저링: 마지막 의식,20250903,마이클 차베즈,2,2,135,15세이상관람가,워너브러더스 코리아(주)
20256741,아기돼지 3형제: 도넛별 대모험,20250904,유위,3,3,71,전체관람가,와이드 릴리즈(주)
20256757,극장판 체인소 맨: 레제편,20250924,,0,0,99,15세이상관람가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20256864,프랑켄슈타인 : 더 뮤지컬 라이브,20250918,박재석,6,3,179,15세이상관람가,(주)위즈온센
20256962,바다 탐험대 옥토넛 어보브 앤 비욘드 : 콰지의 깜짝 어드벤처,20250927,,9,3,58,전체관람가,와이드 릴리즈(주)
20257083,건국전쟁2 ,20250910,김덕영,0,0,107,12세이상관람가,다큐스토리프로덕션
20257095,명탐정 코난: 17년 전의 진상,20250919,야마모토 야스이치로,4,3,79,12세이상관람가,(주)씨제이이엔엠
20257100,산양들,20260729,유재욱,20,3,106,12세이상관람가,(주)시네마달
20257161,국보,20251119,이상일,7,3,174,15세이상관람가,(주)넥스트엔터테인먼트월드(NEW)
20257208,개비의 매직하우스 극장판,20251003,라이언 크레고,16,3,97,전체관람가,유니버설픽쳐스인터내셔널 코리아(유)
20257229,파르테노페,20250924,파올로 소렌티노,2,2,136,청소년관람불가,주식회사 오디언스
20257321,그저 사고였을 뿐,20251001,자파르 파나히,0,0,103,15세이상관람가,그린나래미디어(주)
20257361,난징사진관,20251105,신오,1,1,136,15세이상관람가,주식회사 콘텐츠존
20257456,말할 수 없는 비밀: 마지막 챕터,20251030,카와이 하야토,4,3,114,전체관람가,(주)호라이즌웍스
20257521,프로텍터,20260325,애드리언 그런버그,3,3,93,15세이상관람가,(주)아센디오
20257570,8번 출구,20251022,카와무라 겐키,2,2,95,12세이상관람가,(주)넥스트엔터테인먼트월드(NEW)
20257586,2016 방탄소년단 라이브 화양연화 온 스테이지 : 에필로그 리마스터링,20250923,,7,3,101,12세이상관람가,메가박스중앙(주)
20257658,극장판 주술회전: 회옥·옥절,20251016,고쇼조노 쇼타,0,0,110,15세이상관람가,메가박스중앙(주)
20257670,워킹맨,20251001,데이비드 에이어,4,3,116,청소년관람불가,메가박스중앙(주)
20257728,중간계,20251015,강윤성,7,3,60,15세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20257729,배달의 영웅 : 캐리와 슈퍼콜라2,20251003,권원숙,4,3,86,전체관람가,롯데컬처웍스(주)롯데엔터테인먼트
20257744,28년 후: 뼈의 사원,20260227,니아 다코스타,3,3,109,청소년관람불가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20257795,베이비걸,20251029,할리나 레인,3,3,114,청소년관람불가,메가박스중앙(주)
20257823,폭풍의 언덕,20260211,에머랄드 펜넬,2,2,135,15세이상관람가,워너브러더스 코리아(주)
20258001,지드래곤 인 시네마 [위버맨쉬],20251029,변진호,1,1,105,12세이상관람가,(주)씨제이이엔엠
20258183,원 인 어 밀리언,20251020,,0,0,120,전체관람가,씨제이 씨지브이(CJ CGV)(주)
20258236,만달로리안과 그로구,20260527,존 파브로,2,2,131,12세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20258272,톰과 제리: 황금나침반 대소동,20260101,,0,0,99,전체관람가,TCO(주)더콘텐츠온
20258311,엄마를 버리러 갑니다,20251105,모홍진,3,3,117,12세이상관람가,(주)싸이더스
20258324,731,20260121,조림산,3,3,125,15세이상관람가,주식회사 콘텐츠존
20258325,스노우 폭스 : 마법의 돌을 찾아서,20260110,,0,0,71,전체관람가,와이드 릴리즈(주)
20258383,나우 유 씨 미 3,20251112,루벤 플레셔,9,3,112,12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20258385,꼬마돼지 베이브와 타피티,20251113,니나 웰스,0,0,81,전체관람가,(주)박수엔터테인먼트
20258444,브라이드!,20260304,매기 질렌할,6,3,126,청소년관람불가,워너브러더스 코리아(주)
20258570,극장판 똘똘이: 아기공룡의 비밀,20251107,최영진,7,3,77,전체관람가,(주)크레이지버드스튜디오
20258621,척의 일생,20251224,마이크 플래너건,7,3,110,15세이상관람가,워터홀컴퍼니(주)
20258628,이찬원 정규 2집 ‘찬란’ 청음회,20251019,나상인,1,1,38,전체관람가,롯데컬처웍스(주)롯시플
20258681,후지모토 타츠키 17-26 파트 1,20251024,,0,0,67,15세이상관람가,메가박스중앙(주)
20258739,극장판 주술회전: 시부야사변 X 사멸회유,20251203,고쇼조노 쇼타,0,0,87,15세이상관람가,메가박스중앙(주)
20258808,뽀로로 극장판 스위트캐슬 대모험,20251211,천유림,13,3,66,전체관람가,롯데컬처웍스(주)롯데엔터테인먼트
20258837,뒷자리에 태워줘,20260527,,1,1,106,청소년관람불가,주식회사 올랄라스토리
20258885,프라이메이트,20260128,요하네스 로버츠,3,3,88,청소년관람불가,롯데컬처웍스(주)롯데엔터테인먼트
20258945,너만 보이는 날,20260624,,2,2,102,12세이상관람가,(주)호라이즌웍스
20259028,에이티즈 에이 투 지 온 스크린,20251023,,0,0,59,전체관람가,씨지브이 아이스콘
20259058,신세기 에반게리온 극장판 사도신생,20251031,안노 히데아키,2,2,99,15세이상관람가,(주)삼백상회
20259147,케이팝 데몬 헌터스,20251031,매기 강,0,0,95,12세이상관람가,씨제이 씨지브이(CJ CGV)(주)
20259225,포레스텔라 : 더 웨이브 인 시네마,20251119,김한솔,0,0,115,전체관람가,(주)엘지유플러스
20259250,피렌체,20260107,이창열,8,3,101,12세이상관람가,영화로운 형제
20259333,누벨바그,20251231,리차드 링클레이터,0,0,106,12세이상관람가,메가박스중앙(주)
20259339,힌드의 목소리,20260415,,0,0,88,15세이상관람가,TCO(주)더콘텐츠온
20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,20251224,하시모토 마사카즈,2,2,105,전체관람가,(주)씨제이이엔엠
20259536,힘,20251126,저스틴 팁핑,2,2,96,청소년관람불가,유니버설픽쳐스인터내셔널 코리아(유)
20259551,파리의 사생활,20260715,레베카 즐로토브스키,4,3,102,15세이상관람가,(주)티캐스트
20259563,파더 마더 시스터 브라더,20251231,짐 자무쉬,4,3,110,12세이상관람가,주식회사 로아앤코홀딩스
20259583,초속 5센티미터,20260225,오쿠야마 요시유키,3,3,122,12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20259584,마이 선샤인,20260107,오쿠야마 히로시,3,3,90,전체관람가,(주)넥스트엔터테인먼트월드(NEW)
20259618,콘크리트 마켓,20251203,홍기원,7,3,122,15세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20259626,마이클,20260513,안톤 후쿠아,6,3,127,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
20259641,송 썽 블루,20260114,크레이그 브로워,5,3,132,12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유)
