주시작일,순위,영화코드,영화명,개봉일,주간관객,누적관객
20040105,1,20030410,실미도,2003-12-24,273863,647712
20040105,2,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,117833,548189
20040105,3,20030430,라스트 사무라이,2004-01-09,87988,88264
20040105,4,20030420,동해물과 백두산이,2003-12-31,62006,150056
20040105,5,20030404,러브 액츄얼리,2003-12-05,21291,187174
20040105,7,20030426,더 캣,2003-12-31,12677,30403
20040105,8,20030350,올드보이,2003-11-21,7634,294319
20040105,9,20030408,해피 에로 크리스마스,2003-12-17,702,64378
20040105,10,20030433,말죽거리 잔혹사,2004-01-16,284,284
20040112,1,20030410,실미도,2003-12-24,204967,852679
20040112,2,20030433,말죽거리 잔혹사,2004-01-16,168714,168998
20040112,3,20030430,라스트 사무라이,2004-01-09,78156,166420
20040112,4,20030435,내사랑 싸가지,2004-01-16,77531,77531
20040112,5,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,56669,604858
20040112,6,20040442,피터 팬,2004-01-16,25823,25823
20040112,7,20040441,빙우,2004-01-16,24043,24043
20040112,9,20030420,동해물과 백두산이,2003-12-31,13028,163084
20040112,10,20030404,러브 액츄얼리,2003-12-05,9137,196311
20040112,11,20030436,브라더 베어,2004-01-16,8150,8150
20040119,1,20030433,말죽거리 잔혹사,2004-01-16,250385,419383
20040119,2,20030410,실미도,2003-12-24,234976,1087655
20040119,3,20030435,내사랑 싸가지,2004-01-16,133316,210847
20040119,4,20040443,페이첵,2004-01-22,70078,70078
20040119,5,20030430,라스트 사무라이,2004-01-09,69234,235654
20040119,6,20040442,피터 팬,2004-01-16,53983,79806
20040119,7,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,38833,643691
20040119,9,20040441,빙우,2004-01-16,25420,49463
20040119,10,20030436,브라더 베어,2004-01-16,7737,15887
20040119,11,20030404,러브 액츄얼리,2003-12-05,7041,203352
20040126,1,20030410,실미도,2003-12-24,165151,1252806
20040126,2,20030433,말죽거리 잔혹사,2004-01-16,117524,536907
20040126,3,20030435,내사랑 싸가지,2004-01-16,69797,280644
20040126,4,20040443,페이첵,2004-01-22,40804,110882
20040126,5,20030430,라스트 사무라이,2004-01-09,38586,274240
20040126,6,20040442,피터 팬,2004-01-16,35144,114950
20040126,7,20030434,안녕! 유에프오,2004-01-30,27937,27937
20040126,8,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,26184,669875
20040126,9,20030439,그녀를 모르면 간첩,2004-01-30,23907,23907
20040126,10,20030437,런어웨이,2004-01-30,14532,14532
20040202,1,20030371,태극기 휘날리며,2004-02-05,408103,408103
20040202,2,20030410,실미도,2003-12-24,139141,1391947
20040202,3,20030433,말죽거리 잔혹사,2004-01-16,49877,586784
20040202,4,20040442,피터 팬,2004-01-16,21479,136429
20040202,5,20030430,라스트 사무라이,2004-01-09,17678,291918
20040202,6,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,17144,687019
20040202,7,20040443,페이첵,2004-01-22,14993,125875
20040202,8,20030435,내사랑 싸가지,2004-01-16,14274,294918
20040202,9,20030434,안녕! 유에프오,2004-01-30,11745,39682
20040202,10,20030206,베이직,2004-02-06,8392,8392
20040209,1,20030371,태극기 휘날리며,2004-02-05,597119,1005222
20040209,2,20030410,실미도,2003-12-24,96097,1488044
20040209,3,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,37061,37061
20040209,5,20030433,말죽거리 잔혹사,2004-01-16,14194,600978
20040209,6,20040460,열두명의 웬수들 ,2004-02-13,7159,7159
20040209,7,20040443,페이첵,2004-01-22,4391,130266
20040209,8,20030430,라스트 사무라이,2004-01-09,4158,296076
20040209,9,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,4058,691077
20040209,10,20030440,자토이치,2004-01-30,3625,22338
20040209,11,20030206,베이직,2004-02-06,3205,11597
20040216,1,20030371,태극기 휘날리며,2004-02-05,439483,1444705
20040216,2,20030410,실미도,2003-12-24,75924,1563968
20040216,3,20030413,목포는 항구다,2004-02-20,68018,68018
20040216,4,20040446,그녀를 믿지 마세요,2004-02-20,65258,66705
20040216,5,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,38246,75307
20040216,6,20040461,콜드 마운틴,2004-02-20,19601,19601
20040216,7,20040476,사랑도 통역이 되나요?,2004-02-20,14163,14163
20040216,9,20040460,열두명의 웬수들 ,2004-02-13,5459,12618
20040216,10,20030433,말죽거리 잔혹사,2004-01-16,3647,604625
20040216,11,20040459,스파이 키드 3D,2004-02-13,2633,5663
20040223,1,20030371,태극기 휘날리며,2004-02-05,367326,1812031
20040223,2,20030413,목포는 항구다,2004-02-20,109232,177250
20040223,3,20040446,그녀를 믿지 마세요,2004-02-20,100008,166713
20040223,4,20030410,실미도,2003-12-24,68541,1632509
20040223,5,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,22373,97680
20040223,6,20040461,콜드 마운틴,2004-02-20,20075,39676
20040223,7,20040448,타임라인,2004-02-27,14412,14412
20040223,8,20040447,스쿨 오브 락,2004-02-27,12349,12349
20040223,9,20040476,사랑도 통역이 되나요?,2004-02-20,10990,25153
20040223,11,20040464,8명의 여인들,2004-02-27,7205,7205
