연도,순위,영화명,그해관객,그해말누적,개봉일
2004,1,태극기 휘날리며,2542870,2542870,2004-02-05
2004,2,트로이,1974402,1974402,2004-05-21
2004,3,내 머리 속의 지우개,1878294,1878294,2004-11-05
2004,4,귀신이 산다,1870319,1870319,2004-09-17
2004,5,투모로우,1817828,1817828,2004-06-03
2004,6,우리 형,1772880,1772880,2004-10-08
2004,7,실미도,1708985,1708985,2003-12-24
2004,8,해리포터와 아즈카반의 죄수,1691488,1691488,2004-07-16
2004,9,슈렉2,1647892,1647892,2004-06-18
2004,10,스파이더맨 2,1490256,1490256,2004-06-30
2005,1,웰컴 투 동막골,6413223,6413223,2005-08-04
2005,2,가문의 위기,4508292,4508292,2005-09-07
2005,3,말아톤,4155296,4155296,2005-01-27
2005,4,해리 포터와 불의 잔,3334125,3334125,2005-12-01
2005,5,아일랜드,3197261,3197261,2005-07-21
2005,6,태풍,3172556,3172556,2005-12-14
2005,7,공공의 적 2,3123600,3123600,2005-01-27
2005,8,친절한 금자씨,3079279,3079279,2005-07-29
2005,9,미스터 & 미세스 스미스,2957303,2957303,2005-06-16
2005,10,너는 내 운명,2659825,2659825,2005-09-23
2006,1,괴물,10892305,10892305,2006-07-27
2006,2,왕의 남자,9481771,10489308,2005-12-29
2006,3,타짜,5577385,5577385,2006-09-28
2006,4,미션 임파서블 3,5119669,5119669,2006-05-03
2006,5,투사부일체,4997745,4997745,2006-01-19
2006,6,캐리비안의 해적 : 망자의 함,3898341,3898341,2006-07-06
2006,7,한반도,3296716,3296716,2006-07-13
2006,8,미녀는 괴로워,3219277,3219277,2006-12-14
2006,9,다빈치 코드,2993922,2993922,2006-05-18
2006,10,가문의 부활 - 가문의 영광3,2588560,2588560,2006-09-21
2007,1,디워,7854274,7854274,2007-08-01
2007,2,트랜스포머,7346198,7346198,2007-06-28
2007,3,화려한 휴가,6845718,6845718,2007-07-25
2007,4,스파이더맨 3,4579910,4579910,2007-05-01
2007,5,캐리비안의 해적: 세상의 끝에서,4562802,4562802,2007-05-23
2007,6,해리 포터와 불사조 기사단,3656865,3656865,2007-07-11
2007,7,다이 하드 4 : 죽어도 산다,3139500,3139500,2007-07-17
2007,8,식객,2958352,2958352,2007-11-01
2007,9,그놈 목소리,2911117,2911117,2007-02-01
2007,10,300,2897382,2897382,2007-03-14
2008,1,"좋은 놈, 나쁜 놈, 이상한 놈 ",6676132,6676132,2008-07-17
2008,2,과속스캔들,5118435,5118435,2008-12-03
2008,3,추격자,5033022,5033022,2008-02-14
2008,4,쿵푸 팬더,4643518,4643518,2008-06-05
2008,5,맘마미아!,4504067,4504067,2008-09-03
2008,6,강철중: 공공의 적 1-1,4310578,4310578,2008-06-19
2008,7,아이언맨,4283819,4283819,2008-04-30
2008,8,인디아나 존스 4 : 크리스탈 해골의 왕국,4096532,4096532,2008-05-22
2008,9,다크 나이트,4016570,4016570,2008-08-06
2008,10,미이라 3:황제의 무덤,3998989,3998989,2008-07-30
2009,1,해운대,11276049,11276049,2009-07-22
2009,2,국가대표,8002297,8002297,2009-07-29
2009,3,트랜스포머: 패자의 역습,7387680,7387680,2009-06-24
2009,4,아바타,6638862,6638862,2009-12-17
2009,5,2012,5386352,5386352,2009-11-12
2009,6,터미네이터 : 미래전쟁의 시작,4486511,4486511,2009-05-21
2009,7,7급 공무원,4002500,4002500,2009-04-22
2009,8,전우치,3465823,3465823,2009-12-23
2009,9,과속스캔들,3080780,8199215,2008-12-03
2009,10,거북이 달린다,3017903,3017903,2009-06-11
2010,1,아바타,6596777,13235639,2009-12-17
2010,2,아저씨,6159376,6159376,2010-08-04
2010,3,인셉션,5806397,5806397,2010-07-21
2010,4,의형제,5405194,5405194,2010-02-04
2010,5,아이언맨 2,4400089,4400089,2010-04-29
2010,6,이끼,3335242,3335242,2010-07-14
2010,7,포화속으로,3307797,3307797,2010-06-16
2010,8,하모니,3004402,3004402,2010-01-28
2010,9,방자전,2974675,2974675,2010-06-02
2010,10,솔트,2841792,2841792,2010-07-29
2011,1,트랜스포머 3,7768284,7768284,2011-06-29
2011,2,최종병기 활,7463056,7463056,2011-08-10
2011,3,써니,7318389,7318389,2011-05-04
2011,4,미션임파서블:고스트프로토콜,5328435,5328435,2011-12-15
2011,5,완득이,5296320,5296320,2011-10-20
2011,6,쿵푸팬더 2,5057595,5057595,2011-05-26
2011,7,조선명탐정 : 각시투구꽃의 비밀,4766907,4766907,2011-01-27
2011,8,도가니,4636595,4636595,2011-09-22
2011,9,해리 포터와 죽음의 성물2,4358195,4358195,2011-07-13
2011,10,리얼 스틸,3566300,3566300,2011-10-12
2012,1,도둑들,12979237,12979237,2012-07-25
2012,2,"광해, 왕이 된 남자",12274154,12274154,2012-09-13
2012,3,어벤져스,7052995,7052995,2012-04-26
2012,4,늑대소년,6627275,6627275,2012-10-31
2012,5,다크 나이트 라이즈,6359407,6359407,2012-07-19
2012,6,바람과 함께 사라지다,4898495,4898495,2012-08-08
2012,7,어메이징 스파이더맨,4845970,4845970,2012-06-28
2012,8,범죄와의 전쟁: 나쁜놈들 전성시대,4682529,4682529,2012-02-02
2012,9,내 아내의 모든 것,4578886,4578886,2012-05-17
2012,10,연가시,4499856,4499856,2012-07-05
2013,1,7번방의 선물,12786081,12786081,2013-01-23
2013,2,설국열차,9321959,9321959,2013-08-01
2013,3,관상,9121108,9121108,2013-09-11
2013,4,아이언맨 3,8968799,8968799,2013-04-25
2013,5,변호인,7859155,7859155,2013-12-18
2013,6,베를린,7146760,7146760,2013-01-30
2013,7,은밀하게 위대하게,6950740,6950740,2013-06-05
2013,8,숨바꼭질,5581942,5581942,2013-08-14
2013,9,더 테러 라이브,5580701,5580701,2013-07-31
2013,10,감시자들,5500389,5500389,2013-07-03
2014,1,명량,17597914,17597914,2014-07-30
2014,2,겨울왕국,10283825,10283825,2014-01-16
2014,3,인터스텔라,10175922,10175922,2014-11-06
2014,4,수상한 그녀,8642334,8642334,2014-01-22
2014,5,해적: 바다로 간 산적,8625574,8625574,2014-08-06
2014,6,국제시장,7752903,7752903,2014-12-17
2014,7,트랜스포머: 사라진 시대,5286024,5286024,2014-06-25
2014,8,군도: 민란의 시대,4741281,4741281,2014-07-23
2014,9,엣지 오브 투모로우,4678236,4678236,2014-06-04
2014,10,"님아, 그 강을 건너지 마오",4367049,4367049,2014-11-27
2015,1,베테랑,13397762,13397762,2015-08-05
2015,2,암살,12679383,12679383,2015-07-22
2015,3,어벤져스: 에이지 오브 울트론,10469221,10469221,2015-04-23
2015,4,내부자들,7068121,7068121,2015-11-19
2015,5,국제시장,6445787,14198690,2014-12-17
2015,6,히말라야,6378031,6378031,2015-12-16
2015,7,사도,6229050,6229050,2015-09-16
2015,8,킹스맨 : 시크릿 에이전트,6126021,6126021,2015-02-11
2015,9,미션 임파서블: 로그네이션,6117472,6117472,2015-07-30
