영화명,스크린수,상영횟수,순위,관객수,상영당관객,최종관객
3일의 휴가,735,2349,2,37052,15.8,487497
교섭,1279,5821,1,67513,11.6,1697864
보호자,659,1284,6,10433,8.1,115576
카운트,926,3393,3,29270,8.6,376747
비공식작전,1151,4684,2,121999,26.0,1054518
1947 보스톤,1200,4981,2,89204,17.9,1007337
소울메이트,749,2454,3,14149,5.8,224286
드림,1252,5124,1,78514,15.3,1121631
킬링 로맨스,935,2968,4,17389,5.9,176124
소년들,1031,3505,2,34834,9.9,462096
마루이 비디오,243,745,5,15339,20.6,153522
싱글 인 서울,873,3122,2,30759,9.9,390229
노량: 죽음의 바다,2166,7529,1,170130,22.6,3088232
콘크리트 유토피아,1621,7339,1,250979,34.2,3842628
대외비,991,4024,2,47050,11.7,744987
웅남이,756,2885,2,23244,8.1,299095
두다다쿵: 후후섬의 비밀,382,426,5,4575,10.7,104055
항구의 니쿠코짱!,121,127,10,1184,9.3,6641
강변의 무코리타,131,159,7,2288,14.4,9396
듣보인간의 생존신고,71,98,10,1368,14.0,6156
귀공자,966,3875,3,64914,16.8,659606
화사한 그녀,393,1250,5,8238,6.6,94868
서울의 봄,2204,8786,1,274610,31.3,11528303
유령,1045,3582,3,29793,8.3,653094
스위치,866,3090,5,30547,9.9,396531
더 와일드: 야수들의 전쟁,221,527,9,5492,10.4,40621
밀수,1867,8946,1,189507,21.2,5121456
롱디,262,673,7,7401,11.0,30183
더 문,1187,4746,3,89286,18.8,495836
다음 소희,526,1002,8,4920,4.9,71806
비밀의 언덕,49,78,9,1566,20.1,2647
스파이 코드명 포춘,444,881,8,4633,5.3,38636
거미집,992,3486,3,42428,12.2,309851
장화신은 고양이: 끝내주는 모험,783,2340,3,49520,21.2,823213
용감한 시민,887,3133,2,36639,11.7,250733
악마들,600,1717,5,12258,7.1,67881
잠,1090,4797,1,56155,11.7,1466593
모나리자와 블러드 문,322,553,6,2914,5.3,16289
치악산,217,388,8,2467,6.4,8029
옥수역귀신,277,867,3,14132,16.3,240387
뉴 노멀,503,1131,4,8851,7.8,61955
스즈메의 문단속,1268,5072,1,143507,28.3,5568659
던전 앤 드래곤: 도적들의 명예,1105,3599,2,37244,10.3,290324
범죄도시3,2352,12719,1,740844,58.2,10675973
오펜하이머,1472,5044,1,118387,23.5,3208000
리바운드,1086,4264,2,39011,9.1,685376
달짝지근해: 7510,766,2236,3,38758,17.3,1374310
좋.댓.구,146,186,10,1425,7.7,9779
바빌론,842,1832,4,13206,7.2,191239
천박사 퇴마 연구소: 설경의 비밀,1422,7084,1,190367,26.9,1909031
화란,970,3214,2,19661,6.1,249441
수라,136,155,6,8936,57.7,21721
멍뭉이,533,1269,8,7600,6.0,188694
라이스보이 슬립스,250,361,8,3054,8.5,19377
슈퍼 마리오 브라더스,1266,5723,2,70314,12.3,2375453
"여름을 향한 터널, 이별의 출구",269,611,7,12998,21.3,43449
프린스 챠밍,142,171,9,1170,6.8,10747
더 퍼스트 슬램덩크,809,2096,2,62090,29.6,4665126
미녀와 야수: 마법에 걸린 왕자,173,202,10,2263,11.2,6509
3000년의 기다림,165,225,9,2896,12.9,14982
30일,974,3603,1,42901,11.9,2156421
캐리와 슈퍼콜라,328,385,9,3771,9.8,78784
엘리멘탈,953,3418,3,41921,12.3,7196450
어메이징 모리스,461,520,4,6292,12.1,88705
라일 라일 크로커다일,361,627,8,4415,7.0,25987
메간,569,1792,5,25625,14.3,201798
천룡팔부: 교봉전,289,447,10,2234,5.0,16412
상견니,674,2191,3,44723,20.4,356474
샤잠! 신들의 분노,718,1865,4,8013,4.3,66115
플레인,347,654,7,4212,6.4,33046
똑똑똑,472,1248,6,6713,5.4,17964
앤트맨과 와스프: 퀀텀매니아,2090,9114,1,174877,19.2,1535994
치킨래빗: 잃어버린 보물을 찾아서,223,356,6,7062,19.8,68007
아임 히어로 더 파이널,132,555,3,16870,30.4,240539
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",261,928,1,64954,70.0,523600
오토라는 남자,371,725,5,4870,6.7,30051
파벨만스,409,733,5,3795,5.2,69612
사채소년,198,403,9,2257,5.6,16615
빌리와 용감한 녀석들: 황금 달걀 구조대,293,351,9,2950,8.4,5089
거울 속 외딴 성,314,497,6,2715,5.5,34310
에어,639,2021,3,12021,5.9,101689
슬픔의 삼각형,278,458,9,2941,6.4,38178
카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,100,234,7,2339,10.0,6077
존 윅 4,1532,4607,1,75387,16.4,1915333
곰돌이 푸: 피와 꿀,189,254,8,1474,5.8,3031
무명,201,259,8,3478,13.4,17275
렌필드,577,1892,5,9825,5.2,44837
