common_name,class,order,adult_weight_g,max_longevity_yrs,metabolic_rate_w,body_mass_g,female_maturity_days,gestation_days,litter_size,body_temp_k
Coastal tailed frog,Amphibia,Anura,,14.0,,,,32.0,62.0,
Firebelly toad,Amphibia,Anura,,20.0,,,1095.0,,190.0,
Oriental firebelly toad,Amphibia,Anura,,15.8,,,,,148.0,
Yellow-bellied toad,Amphibia,Anura,,29.0,,,,,73.0,
American toad,Amphibia,Anura,21.7667,36.0,0.00829,21.6,910.0,8.0,6000.0,288.0
Western toad,Amphibia,Anura,,11.5,,,1095.0,6.0,5200.0,
Arroyo toad,Amphibia,Anura,,8.0,,,,,,
Yosemite toad,Amphibia,Anura,,15.0,,,1825.0,11.0,1750.0,
Great plains toad,Amphibia,Anura,,10.7,,,730.0,4.0,11074.0,
Green toad,Amphibia,Anura,,12.4,,,,,1300.0,
Canadian toad,Amphibia,Anura,,13.3,,,730.0,,,
Red-spotted toad,Amphibia,Anura,,11.3,,,730.0,,1500.0,
Sonoran green toad,Amphibia,Anura,,15.3,,,,2.0,,
Southern toad,Amphibia,Anura,19.267,10.0,0.00698,19.2,,3.0,3250.0,288.0
Veragoa stubfoot toad,Amphibia,Anura,,10.0,,,,,,
Common European toad,Amphibia,Anura,,40.0,,,1460.0,,,
"Sonoran desert toad, or Colorado river toad",Amphibia,Anura,,15.4,,,,,7750.0,
Kihansi spray toad,Amphibia,Anura,,5.0,,,,,,
Ridge-headed toad,Amphibia,Anura,,10.7,,,,,,
Cuban toad,Amphibia,Anura,,20.0,,,,,,
European green toad,Amphibia,Anura,,11.9,,,,,,
Colombian giant toad,Amphibia,Anura,,28.7,,,,,,
Argentine toad,Amphibia,Anura,,,,,,,,
Cane toad,Amphibia,Anura,106.25,24.8,0.0303,105.0,365.0,2.0,10000.0,293.0
Eurura toad,Amphibia,Anura,,15.1,,,,,,
Common horned frog,Amphibia,Anura,,12.8,,,,,,
Colombian horned frog,Amphibia,Anura,,15.9,,,,,,
Amazonian horned frog,Amphibia,Anura,,10.3,,,,,,
Ornate horned frog,Amphibia,Anura,,14.7,,,,,,
Goliath frog,Amphibia,Anura,,5.9,,,,,,
Green and black dart-poison frog,Amphibia,Anura,,20.5,,,365.0,12.0,6.0,
Yellow-banded poison frog,Amphibia,Anura,,11.5,,,75.0,12.0,7.0,
Blue poison-dart frog,Amphibia,Anura,,,,,,,,
Kokoe-pa poison dart frog,Amphibia,Anura,,9.1,,,,,,
Strawberry poison frog,Amphibia,Anura,,7.5,,,,,,
Golfo dulce poison-dart frog,Amphibia,Anura,,,,,304.0,15.0,14.0,
African tigrine frog,Amphibia,Anura,48.1,10.9,,,,,,
Blanchard's cricket frog,Amphibia,Anura,1.0,,,,,,,
Northern cricket frog,Amphibia,Anura,,4.9,,,,,,
Treefrog,Amphibia,Anura,,12.8,,,,,,
European tree frog,Amphibia,Anura,,22.0,,,,,,
Cope's gray treefrog,Amphibia,Anura,,7.8,,,730.0,21.0,35.0,
Green treefrog,Amphibia,Anura,,,,,730.0,,1222.0,
Barking treefrog,Amphibia,Anura,,12.5,,,,,2250.0,
Japanese treefrog,Amphibia,Anura,,8.9,,,1278.0,,920.0,
Squirrel treefrog,Amphibia,Anura,,8.5,,,,1.0,1000.0,
Gray treefrog,Amphibia,Anura,7.2,7.8,0.00433,6.97,730.0,4.0,1800.0,290.5
Rosenberg's treefrog,Amphibia,Anura,,,,,,,775.0,
Australian green treefrog,Amphibia,Anura,,20.0,,,,,1100.0,
Cuban treefrog,Amphibia,Anura,,12.9,,,255.0,1.0,1500.0,
Hispaniola giant treefrog,Amphibia,Anura,,6.6,,,,,,
Mexican leaf frog,Amphibia,Anura,,8.7,,,,,,
Spring peeper,Amphibia,Anura,4.0,,0.00105,0.9,912.0,10.0,700.0,292.0
Paradox frog,Amphibia,Anura,,11.0,,,,,,
Mexican treefrog,Amphibia,Anura,,6.3,,,,,2480.0,
Lowland burrowing treefrog,Amphibia,Anura,,5.1,,,,,,
Masked treefrog,Amphibia,Anura,,4.1,,,,,2000.0,
Marbled treefrog,Amphibia,Anura,,10.5,,,,,,
Tungara frog,Amphibia,Anura,,18.8,,,,,,
Golden mantella,Amphibia,Anura,,10.9,,,,14.0,40.0,
Blue-legged mantella,Amphibia,Anura,,3.0,,,365.0,,,
Eastern narrow-mouthed toad,Amphibia,Anura,,6.8,,,547.0,1.0,722.0,
Malaysian narrowmouth toad,Amphibia,Anura,,11.0,,,,,,
Ornate narrow-mouthed frog,Amphibia,Anura,,5.0,,,547.0,,,
Red-banded frog,Amphibia,Anura,,10.3,,,,,,
Rainbow frog,Amphibia,Anura,,2.0,,,365.0,,,
Fleay's barred frog,Amphibia,Anura,,8.0,,,,,,
Common Eurasian spadefoot toad,Amphibia,Anura,,11.0,,,,8.0,1740.0,
Orange-eyed tree frog,Amphibia,Anura,,6.0,,,1096.0,,,
Lesueur's frog,Amphibia,Anura,,5.0,,,1096.0,,,
Pearson's green tree frog,Amphibia,Anura,,,,,730.0,,,
Red-eyed tree frog,Amphibia,Anura,,,,,,,,
Maroon-eyed tree frog,Amphibia,Anura,,5.5,,,,,,
Waxy treefrog,Amphibia,Anura,,10.3,,,,,,
Surinam toad,Amphibia,Anura,,7.7,,,,,,
African clawed frog,Amphibia,Anura,130.0,30.3,0.012,63.6,183.0,2.0,,288.0
African bullfrog,Amphibia,Anura,,45.0,,,,,,
Cape sand frog,Amphibia,Anura,,11.3,,,,,,
American bullfrog,Amphibia,Anura,54.4,16.0,0.0134,51.2,1277.0,4.0,,288.0
Green frog,Amphibia,Anura,,10.0,,,730.0,,4000.0,
Northern leopard frog,Amphibia,Anura,29.0222,9.0,0.00576,21.6,730.0,,4146.0,289.78
Mink frog,Amphibia,Anura,,6.0,,,730.0,,2250.0,
Wood frog,Amphibia,Anura,7.88,5.0,0.00416,7.8,912.0,,900.0,289.8
Carpenter frog,Amphibia,Anura,,6.2,,,,,,
Pool frog,Amphibia,Anura,,6.0,,,,,2420.0,
Black-spotted frog,Amphibia,Anura,,15.0,,,730.0,,2800.0,
Italian green frog,Amphibia,Anura,,6.8,,,912.0,6.0,,
Marsh frog,Amphibia,Anura,,11.0,,,1460.0,,6835.0,
Siberian wood frog,Amphibia,Anura,,9.0,,,1640.0,,2125.0,
Moor frog,Amphibia,Anura,,11.0,,,,,1750.0,
"Red-legged frog, or California red-legged frog",Amphibia,Anura,,15.0,,,,,,
Edible frog,Amphibia,Anura,,12.0,,,,,,
Iberian frog,Amphibia,Anura,,8.0,,,,,318.0,
Long-legged wood frog,Amphibia,Anura,,5.0,,,912.0,,2040.0,
European frog,Amphibia,Anura,,27.0,,,1095.0,,2585.0,
Couch's spadefoot,Amphibia,Anura,,6.7,,,,,3000.0,
Eastern spadefoot,Amphibia,Anura,,12.3,,,730.0,8.0,3872.0,
Great Basin spadefoot,Amphibia,Anura,,20.0,,,,3.0,676.0,
Northwestern salamander,Amphibia,Caudata,,10.2,,,730.0,,150.0,
Mabee's salamander,Amphibia,Caudata,,8.8,,,,,,
Long-toed salamander,Amphibia,Caudata,,10.0,,,730.0,40.0,250.0,
Spotted salamander,Amphibia,Caudata,12.84,32.0,0.005,12.8,1095.0,,125.0,290.0
Axolotl,Amphibia,Caudata,,17.0,,,548.0,18.0,,
Marbled salamander,Amphibia,Caudata,,11.3,,,1296.0,,100.0,
Chihuahuan mole salamander,Amphibia,Caudata,,14.4,,,,,,
Mole salamander,Amphibia,Caudata,,9.0,,,730.0,,350.0,
Small-mouthed salamander,Amphibia,Caudata,,13.8,,,,35.0,625.0,
Tiger salamander,Amphibia,Caudata,9.402,25.0,0.00196,3.21,1460.0,28.0,37.0,291.0
California giant salamander,Amphibia,Caudata,,16.9,,,,150.0,85.0,
Two-toed amphiuma,Amphibia,Caudata,200.967,27.0,0.00904,199.0,1460.0,150.0,200.0,288.0
Three-toed amphiuma,Amphibia,Caudata,,15.9,,,,135.0,200.0,
Chinese giant salamander,Amphibia,Caudata,,,,,,55.0,500.0,
Japanese giant salamander,Amphibia,Caudata,,55.0,,,1825.0,60.0,500.0,
Hellbender,Amphibia,Caudata,358.1,29.0,0.0253,358.0,1825.0,72.0,275.0,288.0
Boulenger's oriental salamander,Amphibia,Caudata,,11.9,,,,,32.0,
Chinese salamander,Amphibia,Caudata,,7.1,,,,,,
Clouded salamander,Amphibia,Caudata,,14.2,,,,,,
Japanese salamander,Amphibia,Caudata,,12.9,,,,,,
Long-tailed clawed salamander,Amphibia,Caudata,,17.0,,,,,,
Japanese clawed salamander,Amphibia,Caudata,,14.2,,,,,17.0,
Afghanistan salamander,Amphibia,Caudata,,11.0,,,,,,
Siberian salamander,Amphibia,Caudata,,8.0,,,,23.0,70.0,
Green salamander,Amphibia,Caudata,,,,,912.0,82.0,21.0,
Arboreal salamander,Amphibia,Caudata,,,,,1095.0,,14.5,
Giant palm salamander,Amphibia,Caudata,,6.9,,,,,,
Palm salamander,Amphibia,Caudata,,12.2,,,,,,
Seal salamander,Amphibia,Caudata,,17.7,,,1642.0,45.0,25.0,
Allegheny mountain dusky salamander,Amphibia,Caudata,0.6,19.8,,,1280.0,,16.0,
Black-bellied salamander,Amphibia,Caudata,14.34,15.0,0.00411,14.1,1280.0,,25.0,288.0
Black mountain salamander,Amphibia,Caudata,,20.0,,,1642.0,,26.0,
Ensatina,Amphibia,Caudata,,,,,1278.0,138.0,14.0,
Cave salamander,Amphibia,Caudata,,9.1,,,1095.0,13.0,73.0,
Texas blind salamander,Amphibia,Caudata,,10.3,,,,,,
Grotto salamander,Amphibia,Caudata,,9.9,,,,,,
Blue ridge two-lined salamander,Amphibia,Caudata,,8.0,,,1278.0,,32.0,
Tennessee cave salamander,Amphibia,Caudata,,18.5,,,,,,
Spring salamander,Amphibia,Caudata,,18.5,,,1460.0,,61.0,
Four-toed salamander,Amphibia,Caudata,,8.9,,,912.0,,30.0,
Red Hills salamander,Amphibia,Caudata,,19.7,,,2008.0,,9.0,
Eastern red-backed salamander,Amphibia,Caudata,0.5,25.0,9.9e-05,0.76,730.0,,8.0,278.5
Dunn's salamander,Amphibia,Caudata,,11.0,,,1095.0,70.0,9.4,
Del Norte salamander,Amphibia,Caudata,,13.3,,,,,7.0,
Northern slimy salamander,Amphibia,Caudata,4.2,20.1,0.00191,4.2,910.0,,21.0,288.0
Red-cheeked salamander,Amphibia,Caudata,,19.8,,,1825.0,,,
Western red-backed salamander,Amphibia,Caudata,,11.1,,,,,,
Yonahlossee salamander,Amphibia,Caudata,,,,,1095.0,,,
Mud salamander,Amphibia,Caudata,,15.1,,,1643.0,,,
Red salamander,Amphibia,Caudata,,20.1,,,1825.0,75.0,80.0,
Italian cave salamander,Amphibia,Caudata,,10.6,,,1278.0,304.0,10.0,
Mudpuppy,Amphibia,Caudata,,34.0,,,2190.0,50.0,68.0,
Dwarf waterdog,Amphibia,Caudata,,,,,1825.0,,30.0,
Olm,Amphibia,Caudata,17.0,102.0,,,4124.0,133.0,35.0,
Pyrenean brook newt,Amphibia,Caudata,,26.0,,,,,,
Brown newt,Amphibia,Caudata,,17.9,,,,,,
Japanese firebelly newt,Amphibia,Caudata,,25.0,,,913.0,20.0,200.0,
Laureutis alpine salamander,Amphibia,Caudata,,15.0,,,1460.0,,,
Bosca's newt,Amphibia,Caudata,,8.0,,,,,160.0,
Smooth newt,Amphibia,Caudata,,20.0,,,1095.0,,180.0,
Fazila's salamander,Amphibia,Caudata,,10.0,,,1096.0,365.0,,
Striped newt,Amphibia,Caudata,,12.9,,,487.0,,,
Eastern newt,Amphibia,Caudata,,25.0,,,2000.0,,,
Tsitou newt,Amphibia,Caudata,,6.5,,,,,,
Asian newt,Amphibia,Caudata,,10.3,,,,,,
Algerian newt,Amphibia,Caudata,,14.0,,,,,,
Iberian ribbed newt,Amphibia,Caudata,,19.5,,,,13.0,725.0,
Golden alpine salamander,Amphibia,Caudata,,17.0,,,,,,
European fire salamander,Amphibia,Caudata,19.1,24.0,0.00857,19.1,,,,288.0
Northern spectacled salamander,Amphibia,Caudata,,,,,,,,
Rough-skinned newt,Amphibia,Caudata,12.32,,0.00518,12.2,1278.0,23.0,,288.0
Red-bellied newt,Amphibia,Caudata,,,,,1825.0,18.0,10.0,
California newt,Amphibia,Caudata,,21.8,,,1095.0,45.0,122.0,
Italian crested newt,Amphibia,Caudata,,11.0,,,,,,
Northern crested newt,Amphibia,Caudata,,28.0,,,,16.0,225.0,
