연도,평균기온
1908.0,10.4
1909.0,10.6
1910.0,10.4
1911.0,10.7
1912.0,10.1
1913.0,10.1
1914.0,12.0
1915.0,10.9
1916.0,10.9
1917.0,9.9
1918.0,10.5
1919.0,11.2
1920.0,11.4
1921.0,11.0
1922.0,10.9
1923.0,10.7
1924.0,11.1
1925.0,10.8
1926.0,10.6
1927.0,11.1
1928.0,11.1
1929.0,11.5
1930.0,11.8
1931.0,11.0
1932.0,11.7
1933.0,10.6
1934.0,10.2
1935.0,11.3
1936.0,9.8
1937.0,11.5
1938.0,11.0
1939.0,11.8
1940.0,10.8
1941.0,11.2
1942.0,11.0
1943.0,11.7
1944.0,10.9
1945.0,10.4
1946.0,11.4
1947.0,9.7
1948.0,11.8
1949.0,11.7
1954.0,11.5
1955.0,11.5
1956.0,10.1
1957.0,10.5
1958.0,11.6
1959.0,12.1
1960.0,12.1
1961.0,12.5
1962.0,11.8
1963.0,11.3
1964.0,12.2
1965.0,11.4
1966.0,11.6
1967.0,11.7
1968.0,11.8
1969.0,10.9
1970.0,11.4
1971.0,11.6
1972.0,11.9
1973.0,12.1
1974.0,11.2
1975.0,12.5
1976.0,11.5
1977.0,12.4
1978.0,12.4
1979.0,12.5
1980.0,10.8
1981.0,11.2
1982.0,12.6
1983.0,12.5
1984.0,11.6
1985.0,11.6
1986.0,11.3
1987.0,12.0
1988.0,12.1
1989.0,13.0
1990.0,12.8
1991.0,12.4
1992.0,12.5
1993.0,12.1
1994.0,13.6
1995.0,12.3
1996.0,12.3
1997.0,13.0
1998.0,13.8
1999.0,13.3
2000.0,12.7
2001.0,12.9
2002.0,12.9
2003.0,12.9
2004.0,13.4
2005.0,12.1
2006.0,13.1
2007.0,13.3
2008.0,13.0
2009.0,13.0
2010.0,12.1
2011.0,12.1
2012.0,12.3
2013.0,12.6
2014.0,13.4
2015.0,13.6
2016.0,13.6
2017.0,13.1
2018.0,13.0
2019.0,13.6
2020.0,13.3
2021.0,13.8
2022.0,13.3
2023.0,14.1
2024.0,14.9
2025.0,14.2
