"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"202607","1호선","서울역","2160777","265985","2107378","253922","20260803"
"202607","1호선","시청","695939","100342","702577","98549","20260803"
"202607","1호선","종각","1039622","157582","1024991","147651","20260803"
"202607","1호선","종로3가","482171","272919","431683","250624","20260803"
"202607","1호선","종로5가","478714","239060","468501","232008","20260803"
"202607","1호선","동대문","315415","125150","306418","124234","20260803"
"202607","1호선","신설동","319421","125501","304634","121286","20260803"
"202607","1호선","제기동","223246","243545","212399","262878","20260803"
"202607","1호선","청량리(서울시립대입구)","418639","285738","416006","287818","20260803"
"202607","1호선","동묘앞","179817","142906","196280","144449","20260803"
"202607","2호선","시청","743456","67453","691262","62267","20260803"
"202607","2호선","을지로입구","1481309","109514","1535190","101749","20260803"
"202607","2호선","을지로3가","713909","74546","729931","74531","20260803"
"202607","2호선","을지로4가","383984","76607","372695","73556","20260803"
"202607","2호선","동대문역사문화공원(DDP)","411146","71875","477086","79858","20260803"
"202607","2호선","신당","367038","96180","384503","98314","20260803"
"202607","2호선","상왕십리","362138","71941","355697","73033","20260803"
"202607","2호선","왕십리(성동구청)","431702","56768","385910","52401","20260803"
"202607","2호선","한양대","261990","14780","277097","15605","20260803"
"202607","2호선","뚝섬","672021","72047","713485","72155","20260803"
"202607","2호선","성수","1692603","104129","1822023","104494","20260803"
"202607","2호선","건대입구","1032040","99020","1085911","103695","20260803"
"202607","2호선","구의(광진구청)","758032","127967","742547","128657","20260803"
"202607","2호선","강변(동서울터미널)","721190","117901","660041","113784","20260803"
"202607","2호선","잠실나루","366903","99606","354051","98811","20260803"
"202607","2호선","잠실(송파구청)","2239752","234155","2205000","226138","20260803"
"202607","2호선","잠실새내","600014","126292","589832","125300","20260803"
"202607","2호선","종합운동장","456847","59488","506925","62293","20260803"
"202607","2호선","삼성(무역센터)","1526902","123596","1416460","106704","20260803"
"202607","2호선","선릉","1417150","256215","1242689","227265","20260803"
"202607","2호선","역삼","1274317","145903","1449306","147947","20260803"
"202607","2호선","강남","2323426","177141","2209640","150870","20260803"
"202607","2호선","교대(법원.검찰청)","725013","157987","874389","185182","20260803"
